Source,normalized_particle.L_concentration,size_min_um,size_max_um,DOI,Sample_ID,Subsample_ID,alpha_lower,alpha,alpha_upper,correction_factor,corrected_concentration,correction_factor_lower,corrected_concentration_lower,correction_factor_upper,corrected_concentration_upper
drinkingwater,249,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,12|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,89.64,0.77,192.85,0.15,36.68
drinkingwater,249,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,13|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,89.64,0.77,192.85,0.15,36.68
drinkingwater,374,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,14|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,134.64,0.77,289.67,0.15,55.09
drinkingwater,748,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,15|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,269.28,0.77,579.34,0.15,110.18
drinkingwater,374,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,16|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,134.64,0.77,289.67,0.15,55.09
drinkingwater,1247,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,17|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,448.92,0.77,965.82,0.15,183.69
drinkingwater,623,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,18|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,224.28,0.77,482.52,0.15,91.77
drinkingwater,499,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,19|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,179.64,0.77,386.48,0.15,73.5
drinkingwater,374,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,20|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,134.64,0.77,289.67,0.15,55.09
drinkingwater,125,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,21|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,45,0.77,96.81,0.15,18.41
drinkingwater,499,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,22|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,179.64,0.77,386.48,0.15,73.5
drinkingwater,249,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,23|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,89.64,0.77,192.85,0.15,36.68
drinkingwater,499,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,24|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,179.64,0.77,386.48,0.15,73.5
drinkingwater,249,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,25|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,89.64,0.77,192.85,0.15,36.68
drinkingwater,0,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,26|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,0,0.77,0,0.15,0
drinkingwater,1247,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,27|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,448.92,0.77,965.82,0.15,183.69
drinkingwater,374,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,28|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,134.64,0.77,289.67,0.15,55.09
drinkingwater,623,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,29|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,224.28,0.77,482.52,0.15,91.77
drinkingwater,499,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,30|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,179.64,0.77,386.48,0.15,73.5
drinkingwater,499,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,31|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,179.64,0.77,386.48,0.15,73.5
drinkingwater,374,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,32|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,134.64,0.77,289.67,0.15,55.09
drinkingwater,748,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,33|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,269.28,0.77,579.34,0.15,110.18
drinkingwater,623,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,34|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,224.28,0.77,482.52,0.15,91.77
drinkingwater,249,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,35|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,89.64,0.77,192.85,0.15,36.68
drinkingwater,374,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,36|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,134.64,0.77,289.67,0.15,55.09
drinkingwater,249,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,37|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,89.64,0.77,192.85,0.15,36.68
