DOI,Sample_ID,Subsample_ID,Source,Concentration,Concentration_Units,normalized_particle/L_concentration,PEST,PE,PP,PA,PE_PS,PS,CA,PVC,ER,PAM,PET,PlasticAdditive,PBT,PU,PET_PEST,PAN,Silicone,Acrylic,Vinyl,Vinyon,Other,PA_ER,PTT,PE_PP,PPS,Rayon,PAA,PMPS,PI,Olefin,Styrene_Butadiene,PBA,PMMA,Cellophane,SAN,PC,PDMS,PLA,PTFE,SBR,PET_Olefin,PES,ABS,LDPE,PEVA,AR,PVA,PPE
10.3389/fchem.2018.00407,09.08.18|10.3389/fchem.2018.00407,N/A,bottled water,37.3,particles/L,37.3,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,PRD 03 21 2017 14:02|10.3389/fchem.2018.00407,N/A,bottled water,197,particles/L,197,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,PRD 05 24 17 11:29|10.3389/fchem.2018.00407,N/A,bottled water,58.2,particles/L,58.2,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,07.142018 2|10.3389/fchem.2018.00407,N/A,bottled water,1410,particles/L,1410,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,NV No. AC-51-07269|10.3389/fchem.2018.00407,N/A,bottled water,204,particles/L,204,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,FAB: 211017 09:06SP|10.3389/fchem.2018.00407,N/A,bottled water,40.1,particles/L,40.1,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,FAB: 160817 15:05SP|10.3389/fchem.2018.00407,N/A,bottled water,12.5,particles/L,12.5,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,FAB: 091217 16:53SP|10.3389/fchem.2018.00407,N/A,bottled water,150,particles/L,150,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,100517 278WF246|10.3389/fchem.2018.00407,N/A,bottled water,2277,particles/L,2277,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,P: 4/11/17 03:34 AZ|10.3389/fchem.2018.00407,N/A,bottled water,49.3,particles/L,49.3,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
