Source,concentration
River Reported,0.074
River Reported,0.036
River Reported,0.03
River Reported,0.022
River Reported,0.018
River Reported,0.007
River Reported,0
River Reported,8.00E-04
River Reported,8.00E-04
River Reported,8.00E-04
River Reported,0.0122
River Reported,0.0122
River Reported,0.0122
River Reported,0.0122
River Reported,0.0103
River Reported,0.0103
River Reported,0.0103
River Reported,0.0102
River Reported,0.0102
River Reported,0.0102
River Reported,0.0071
River Reported,0.0071
River Reported,0.0071
River Reported,0.0071
River Reported,0.007
River Reported,0.007
River Reported,0.007
River Reported,0.0055
River Reported,0.0055
River Reported,0.0055
River Reported,0.0055
River Reported,0.0041
River Reported,0.0041
River Reported,0.0041
River Reported,0.004
River Reported,0.004
River Reported,0.004
River Reported,0.004
River Reported,0.0037
River Reported,0.0037
River Reported,0.0037
River Reported,0.0037
River Reported,0.0034
River Reported,0.0034
River Reported,0.0034
River Reported,0.0034
River Reported,0.0033
River Reported,0.0033
River Reported,0.0033
River Reported,0.0033
River Reported,0.0026
River Reported,0.0026
River Reported,0.0026
River Reported,0.0026
River Reported,0.0026
River Reported,0.0026
River Reported,0.0026
River Reported,0.0026
River Reported,0.0026
River Reported,0.0026
River Reported,0.0026
River Reported,0.0021
River Reported,0.0021
River Reported,0.0021
River Reported,0.0021
River Reported,0.002
River Reported,0.002
River Reported,0.002
River Reported,0.002
River Reported,0.0018
River Reported,0.0018
River Reported,0.0018
River Reported,0.0017
River Reported,0.0017
River Reported,0.0017
River Reported,0.0017
River Reported,0.0015
River Reported,0.0015
River Reported,0.0015
River Reported,0.0015
River Reported,0.0013
River Reported,0.0013
River Reported,0.0013
River Reported,0.0013
River Reported,0.0012
River Reported,0.0012
River Reported,0.0012
River Reported,0.0012
River Reported,0.0012
River Reported,0.0012
River Reported,0.001
River Reported,0.001
River Reported,0.001
River Reported,8.00E-05
River Reported,1.00E-04
River Reported,1.00E-05
River Reported,5.00E-05
River Reported,1.00E-05
River Reported,0.00053
River Reported,7.00E-04
River Reported,7.00E-04
River Reported,7.00E-04
River Reported,7.00E-04
River Reported,6.00E-04
River Reported,6.00E-04
River Reported,6.00E-04
River Reported,6.00E-04
River Reported,5.00E-04
River Reported,5.00E-04
River Reported,5.00E-04
River Reported,5.00E-04
River Reported,3.00E-04
River Reported,3.00E-04
River Reported,3.00E-04
River Reported,226
River Reported,196
River Reported,196
River Reported,185
River Reported,119
River Reported,62.5
River Reported,40.5
River Reported,23.2
River Reported,0.0197
River Reported,0.0162
River Reported,0.0153
River Reported,0.0148
River Reported,0.0117
River Reported,0.0098
River Reported,0.0032
River Reported,0.0032
River Reported,0.00065
River Reported,0.00232
River Reported,0.00175
River Reported,0.00058
River Reported,0.01793
River Reported,0.00194
River Reported,NA
River Reported,NA
River Reported,NA
River Reported,5.405
River Reported,3.198
River Reported,2.137
River Reported,1.714
River Reported,1.709
River Reported,1.117
River Reported,1.1116
River Reported,1.108
River Reported,1.09
River Reported,1.075
River Reported,1.046
River Reported,0.632
River Reported,0.563
River Reported,258
River Reported,106
River Reported,80
River Reported,54
River Reported,50
River Reported,38
River Reported,36
River Reported,24
River Reported,24
River Reported,24
River Reported,22
River Reported,22
River Reported,20
River Reported,16
River Reported,16
River Reported,16
River Reported,14
River Reported,14
River Reported,14
River Reported,12
River Reported,12
River Reported,12
River Reported,10
River Reported,8
River Reported,6
River Reported,6
River Reported,6
River Reported,6
River Reported,6
River Reported,4
River Reported,4
River Reported,4
River Reported,2
River Reported,0
River Reported,828.75
River Reported,131.25
River Reported,233.75
River Reported,0.00095
River Reported,0.00864
River Reported,0.00862
River Reported,0.00803
River Reported,0.00713
River Reported,7.00E-04
