DOI,Sample_ID,Subsample_ID,Source,Concentration,Concentration_Units,normalized_particle/L_concentration,morphologydirty,fiber,foams,films,fragments,pellets,foam,line,film,fibers,beads,spheres,spherical,other,styrofoam,sheets,polystyrene,extruded polystyrene,fragment
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 390,N/A,river water,8,particles total in sample (normalized to 0.5 L),16,8 fragments; 25 fibers,,,,0.242424242,,,,,0.757575758,,,,,,,,,
doi.org/10.1021/acs.est.9b04896,doi.org/10.1021/acs.est.9b04896 | 419,N/A,river water,8,particles total in sample (normalized to 0.5 L),16,8 fragments; 9 fibers,,,,0.470588235,,,,,0.529411765,,,,,,,,,
doi.org/10.1016/j.jwpe.2020.101640,Average|doi.org/10.1016/j.jwpe.2020.101640,N/A,River bed sediment,63; 8,particles/kg; mm2/kg,,80% fragments; 15% spherical; 5% fibers,,,,0.8,,,,,0.05,,,0.15,,,,,,
doi.org/10.1016/j.jwpe.2020.101640,James|doi.org/10.1016/j.jwpe.2020.101640,N/A,River bed sediment,36; 5,particles/kg; mm2/kg,,80% fragments; 15% spherical; 5% fibers,,,,0.8,,,,,0.05,,,0.15,,,,,,
doi.org/10.1016/j.jwpe.2020.101640,Roanoke|doi.org/10.1016/j.jwpe.2020.101640,N/A,River bed sediment,180; 18,particles/kg; mm2/kg,,80% fragments; 15% spherical; 5% fibers,,,,0.8,,,,,0.05,,,0.15,,,,,,
doi.org/10.1016/j.jwpe.2020.101640,Stroubles|doi.org/10.1016/j.jwpe.2020.101640,N/A,River bed sediment,17; 4,particles/kg; mm2/kg,,80% fragments; 15% spherical; 5% fibers,,,,0.8,,,,,0.05,,,0.15,,,,,,
doi.org/10.5203/pmuser.201730578,Nelson|doi.org/10.5203/pmuser.201730578,N/A,River Water,88832.44; 0.95,particles/km2; particles/m3,0.00095,89% fibers,,,,,,,,,0.89,,,,,,,,,
doi.org/10.5203/pmuser.201730578,RMYC3|doi.org/10.5203/pmuser.201730578,N/A,River Water,808549.79; 8.64,particles/km2; particles/m3,0.00864,89% fibers,,,,,,,,,0.89,,,,,,,,,
doi.org/10.5203/pmuser.201730578,Redboine1|doi.org/10.5203/pmuser.201730578,N/A,River Water,806763.83; 8.62,particles/km2; particles/m3,0.00862,89% fibers,,,,,,,,,0.89,,,,,,,,,
doi.org/10.5203/pmuser.201730578,Redboine3|doi.org/10.5203/pmuser.201730578,N/A,River Water,751743.85; 8.03,particles/km2; particles/m3,0.00803,89% fibers,,,,,,,,,0.89,,,,,,,,,
doi.org/10.5203/pmuser.201730578,Redboine2|doi.org/10.5203/pmuser.201730578,N/A,River Water,667045.81; 7.13,particles/km2; particles/m3,0.00713,89% fibers,,,,,,,,,0.89,,,,,,,,,
doi.org/10.5203/pmuser.201730578,Emerson|doi.org/10.5203/pmuser.201730578,N/A,River Water,65626.93; 0.70,particles/km2; particles/m3,0.0007,89% fibers,,,,,,,,,0.89,,,,,,,,,
doi.org/10.5203/pmuser.201730578,RMYC1|doi.org/10.5203/pmuser.201730578,N/A,River Water,631540.63; 6.75,particles/km2; particles/m3,0.00675,89% fibers,,,,,,,,,0.89,,,,,,,,,
doi.org/10.5203/pmuser.201730578,Forks1|doi.org/10.5203/pmuser.201730578,N/A,River Water,1655485.65; 17.69,particles/km2; particles/m3,0.01769,89% fibers,,,,,,,,,0.89,,,,,,,,,
doi.org/10.5203/pmuser.201730578,Forks2|doi.org/10.5203/pmuser.201730578,N/A,River Water,157686.44; 1.69,particles/km2; particles/m3,0.00169,89% fibers,,,,,,,,,0.89,,,,,,,,,
doi.org/10.5203/pmuser.201730578,Courchaine|doi.org/10.5203/pmuser.201730578,N/A,River Water,143201.90; 1.53,particles/km2; particles/m3,0.00153,89% fibers,,,,,,,,,0.89,,,,,,,,,
doi.org/10.5203/pmuser.201730578,RMYC2|doi.org/10.5203/pmuser.201730578,N/A,River Water,126142.26; 0.94,particles/km2; particles/m3,0.00094,89% fibers,,,,,,,,,0.89,,,,,,,,,
doi.org/10.5203/pmuser.201730578,Forks3|doi.org/10.5203/pmuser.201730578,N/A,River Water,122920.24; 1.31,particles/km2; particles/m3,0.00131,89% fibers,,,,,,,,,0.89,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Grab11|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (grab sample),0.518,particles/L,0.518,0.493 beads/L,,,,,,,,,,1,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Grab6|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (grab sample),0.517,particles/L,0.517,0.517 fibers/L,,,,,,,,,1,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Grab5|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (grab sample),0.518,particles/L,0.518,0.518 fibers/L,,,,,,,,,1,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Grab10|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (grab sample),0.632,particles/L,0.632,0.518 fragments/L,,,,1,,,,,,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Grab13|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (grab sample),0.536,particles/L,0.536,0.526 fragments/L,,,,1,,,,,,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Grab12|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (grab sample),0.493,particles/L,0.493,0.536 fibers/L,,,,,,,,,1,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Grab17|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (grab sample),1.075,particles/L,1.075,0.538 fibers/L,,,,,,,,,1,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Grab18|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (grab sample),0.538,particles/L,0.538,0.539 fibers/L; 0.54 fragments/L,,,,0.500463392,,,,,0.499536608,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Grab24|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (grab sample),1.108,particles/L,1.108,0.545 fibers/L; 0.545 films/L,,,0.5,,,,,,0.5,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Grab8|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (grab sample),0,particles/L,0,0.552 fibers/L; 0.532 fragments/L,,,,0.490774908,,,,,0.509225092,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Grab3|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (grab sample),0.552,particles/L,0.552,0.553 fibers/L,,,,,,,,,1,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Grab1|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (grab sample),1.1116,particles/L,1.1116,0.558 fibers/L; 0.558 films/L,,,0.5,,,,,,0.5,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Grab4|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (grab sample),0.559,particles/L,0.559,0.559 fibers/L,,,,,,,,,1,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Grab26|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (grab sample),1.117,particles/L,1.117,0.563 fibers/L,,,,,,,,,1,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Grab25|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (grab sample),1.09,particles/L,1.09,0.588 fibers/L; 0.588 fragments/L,,,,0.5,,,,,0.5,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Grab9|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (grab sample),1.046,particles/L,1.046,0.632 beads/L,,,,,,,,,,1,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Grab20|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (grab sample),0,particles/L,0,1.068 fibers/L; 0.534 fragments/L,,,,0.333333333,,,,,0.666666667,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Grab16|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (grab sample),0,particles/L,0,1.075 fibers/L,,,,,,,,,1,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Grab23|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (grab sample),1.714,particles/L,1.714,1.108 fibers/L,,,,,,,,,1,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Grab22|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (grab sample),3.198,particles/L,3.198,1.143 fibers/L; 0.571 fragments/L,,,,0.333138856,,,,,0.666861144,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Grab7A|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (grab sample),5.405,particles/L,5.405,1.621 fibers/L; 1.623 fragments/L,,,,0.5,,,,,0.5,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Grab21|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (grab sample),2.137,particles/L,2.137,3.198 fibers/L,,,,,,,,,1,,,,,,,,,
doi.org/10.1016/j.marpolbul.2017.07.028,average|doi.org/10.1016/j.marpolbul.2017.07.028,N/A,8-18 cm surface river water,0.98,particles/L,0.98,fibers,,,,,,,,,1,,,,,,,,,
doi.org/10.1007/s11356-021-12898-7,doi.org/10.1007/s11356-021-12898-7|1,N/A,Effluents of the WWTP,1.49,particles/L,1.49,fibers,,,,,,,,,1,,,,,,,,,
doi.org/10.1007/s11356-021-12898-7,doi.org/10.1007/s11356-021-12898-7|2,N/A,Effluents of the WWTP,1.47,particles/L,1.47,fibers,,,,,,,,,1,,,,,,,,,
doi.org/10.1007/s11356-021-12898-7,doi.org/10.1007/s11356-021-12898-7|3,N/A,Effluents of the WWTP,1.36,particles/L,1.36,fibers,,,,,,,,,1,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net6|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),0.525,particles/m3,0.000525,0.131 fragments/m3; 0.394 beads/m3,,,,0.24952381,,,,,,0.75047619,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net12|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),9.492,particles/m3,0.009492,0.231 fibers/m3; 0.231 fragments/m3; 0.231 films/m3; 0.693 beads/m3,,,0.166666667,0.166666667,,,,,0.166666667,0.5,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net1|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),0.246,particles/m3,0.000246,0.246 fibers/m3,,,,,,,,,1,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net2|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),2.278,particles/m3,0.002278,0.285 fibers/m3; 0.285 fragments/m3; 1.709 films/m3,,,0.749890303,0.125054849,,,,,0.125054849,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net9|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),4.79,particles/m3,0.00479,0.3059 films/m3; 0.305 beads/m3,,,0.500736618,,,,,,,0.499263382,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net10|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),0.611,particles/m3,0.000611,0.323 fibers/m3; 0.324 fragments/m3; 0.324 films/m3; 0.324 beads/m3,,,0.25019305,0.25019305,,,,,0.249420849,0.25019305,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net5|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),0.556,particles/m3,0.000556,0.334 fibers/m3; 0.223 fragments/m3,,,,0.400359066,,,,,0.599640934,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net15|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),1.271,particles/m3,0.001271,0.335 fibers/m3; 0.355 fragments/m3; 1.421 films/m3,,,0.679579149,0.160210426,,,,,0.160210426,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net4|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),0.832,particles/m3,0.000832,0.416 fibers/m3; 0.416 fragments/m3,,,,0.5,,,,,0.5,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net7B|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),3.5,particles/m3,0.0035,0.481 fibers/m3; 0.961 fragments/m3,,,,0.665973666,,,,,0.333333333,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net18|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),1.934,particles/m3,0.001934,0.481 fragments/m3; 0.962 films/m3,,,0.665973666,0.333333333,,,,,,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net7A|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),0.54,particles/m3,0.00054,0.540 fragments/m3,,,,1,,,,,,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net19|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),1.444,particles/m3,0.001444,0.547 fibers/m3; 0.547 films/m3,,,0.5,,,,,,0.5,,,,,,,,,
