material,material_raw,count
PE+PP,co pe-pp,137.06
PE+PP,co pe-pp,54.78
PE+PP,co pe-pp,82.28
PE+PP,co pe-pp,54.78
PE+PP,co pe-pp,164.56
PPS,PPS,32.12
PPS,PPS,9.125
PPS,PPS,0
PPS,PPS,18.177
PPS,PPS,63.656
PPS,PPS,18.177
PPS,PPS,27.302
PPS,PPS,36.427
PPS,PPS,18.177
PPS,PPS,36.427
PPS,PPS,27.302
PPS,PPS,18.177
PPS,PPS,18.177
PPS,PPS,18.177
PPS,PPS,27.302
PPS,PPS,54.604
PPS,PPS,27.302
PPS,PPS,91.031
PPS,PPS,45.479
PPS,PPS,36.427
PPS,PPS,27.302
PPS,PPS,9.125
PPS,PPS,36.427
PPS,PPS,18.177
PPS,PPS,36.427
PPS,PPS,18.177
PPS,PPS,0
PPS,PPS,91.031
PPS,PPS,27.302
PPS,PPS,45.479
PPS,PPS,36.427
PPS,PPS,36.427
PPS,PPS,27.302
PPS,PPS,54.604
PPS,PPS,45.479
PPS,PPS,18.177
PPS,PPS,27.302
PPS,PPS,18.177
PPS,PPS,54.604
PBA,PBA,29.46
PBA,PBA,36.24
PBA,PBA,72.1
PMMA,PMMA,29.46
PMMA,PMMA,36.24
PMMA,PMMA,72.1
PET+Olefin,PET_Olefin,291.39
PET+Olefin,PET_Olefin,537.79
PET+Olefin,PET_Olefin,692.12
PPE,PPE,125.1345532
plastic,polymeric,9.79E-05
plastic,polymeric,6.85E-05
plastic,polymeric,1.96E-05
plastic,polymeric,1.96E-05
plastic,polymeric,9.79E-06
plastic,polymeric,1.96E-05
plastic,polymeric,1.96E-05
plastic,polymeric,9.79E-06
plastic,polymeric,9.79E-06
plastic,polymeric,0
plastic,polymeric,9.79E-06
plastic,polymeric,2.94E-05
plastic,polymeric,0.000176186
plastic,polymeric,7.83E-05
plastic,polymeric,9.79E-05
plastic,polymeric,9.79E-06
plastic,polymeric,4.89E-05
plastic,polymeric,9.79E-06
plastic,polymeric,0.000518769
plastic,polymeric,0.001252877
plastic,polymeric,0.000939658
plastic,polymeric,0.000646015
plastic,polymeric,0.000802624
plastic,polymeric,0.000371948
plastic,polymeric,0.002084865
plastic,polymeric,0.004306764
plastic,polymeric,0.001458427
plastic,polymeric,0.000587286
plastic,polymeric,0.001174572
plastic,polymeric,0.001076691
plastic,polymeric,0.004189307
plastic,polymeric,0.006675484
plastic,polymeric,0.000440465
plastic,polymeric,0.000920081
plastic,polymeric,0.000323007
plastic,polymeric,0.000665591
plastic,polymeric,0.001213724
plastic,polymeric,0.001448639
plastic,polymeric,0.002995159
plastic,polymeric,0.001820587
plastic,polymeric,0.008466707
plastic,polymeric,0.000988598
plastic,polymeric,0.002770032
plastic,polymeric,0.002642787
plastic,polymeric,0.001057115
plastic,polymeric,0.000430676
plastic,polymeric,0.00134097
plastic,polymeric,0.004835321
plastic,polymeric,0.003239861
plastic,polymeric,0.002603635
plastic,polymeric,0.000636227
plastic,polymeric,0.002270839
plastic,polymeric,0.001712918
plastic,polymeric,0.00056771
PE,PE,1.26
PE,PE,0.72
PE,PE,3.6
PE,PE,0.34
PP,PP,11.34
PP,PP,6.48
PP,PP,32.4
PP,PP,3.06
PS,PS,10.71
PS,PS,6.12
PS,PS,30.6
PS,PS,2.89
PET,PET,1.495
PET,PET,0.663
PET,PET,0.637
PET,PET,0.624
PET,PET,0.546
PET,PET,0.52
PET,PET,0.507
PET,PET,0.494
PET,PET,0.494
PET,PET,0.494
PET,PET,0.468
PET,PET,0.403
PET,PET,0.403
PET,PET,0.403
PET,PET,0.351
PET,PET,0.351
PET,PET,0.325
PET,PET,0.325
PET,PET,0.312
PET,PET,0.312
PET,PET,0.312
PET,PET,0.312
PET,PET,0.312
PET,PET,0.312
PET,PET,0.299
PET,PET,0.299
PET,PET,0.299
PET,PET,0.273
PET,PET,0.234
PET,PET,0.208
PET,PET,0.208
PET,PET,0.208
PET,PET,0.208
PET,PET,0.195
PET,PET,0.195
PET,PET,0.195
PET,PET,0.195
PET,PET,0.195
PET,PET,0.195
PET,PET,0.195
PET,PET,0.169
PET,PET,0.156
PET,PET,0.156
PET,PET,0.156
PET,PET,0.156
PET,PET,0.156
PET,PET,0.117
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.104
PET,PET,0.091
PET,PET,0.091
PET,PET,0.078
PET,PET,0.078
PET,PET,0.078
PET,PET,0.078
PET,PET,0.078
PET,PET,0.078
PET,PET,0.078
PET,PET,0.078
PET,PET,0.078
PET,PET,0.078
PET,PET,0.078
PET,PET,0.078
PET,PET,0.078
PET,PET,0.078
PET,PET,0.013
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
PET,PET,0
nonpolymeric,nonpolymeric,2.12E-06
nonpolymeric,nonpolymeric,1.48E-06
PE,polyester,2.3
PE,polyester,1.02
PE,polyester,0.98
PE,polyester,0.96
PE,polyester,0.84
PE,polyester,0.8
PE,polyester,0.78
PE,polyester,0.76
PE,polyester,0.76
PE,polyester,0.76
PE,polyester,0.72
PE,polyester,0.62
PE,polyester,0.62
PE,polyester,0.62
PE,polyester,0.54
PE,polyester,0.54
PE,polyester,0.5
PE,polyester,0.5
PE,polyester,0.48
PE,polyester,0.48
PE,polyester,0.48
PE,polyester,0.48
PE,polyester,0.48
PE,polyester,0.48
PE,polyester,0.46
PE,polyester,0.46
PE,polyester,0.46
PE,polyester,0.42
PE,polyester,0.36
PE,polyester,0.32
PE,polyester,0.32
PE,polyester,0.32
PE,polyester,0.32
PE,polyester,0.3
PE,polyester,0.3
PE,polyester,0.3
PE,polyester,0.3
PE,polyester,0.3
PE,polyester,0.3
PE,polyester,0.3
PE,polyester,0.26
PE,polyester,0.24
