study_media,normalized_particle.L_concentration,size_min_um,size_max_um,DOI,Sample_ID,Subsample_ID,alpha_lower,alpha,alpha_upper,correction_factor,corrected_concentration,correction_factor_lower,correction_factor_upper,corrected_concentration_lower,corrected_concentration_upper
freshwatersurface,9.00E-04,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 2.3,N/A,,2.64,,15420.02,13.878018,14545.77158,16346.9694,13.09119442,14.71227246
freshwatersurface,9.00E-04,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 2.4,N/A,,2.64,,15420.02,13.878018,14545.77158,16346.9694,13.09119442,14.71227246
freshwatersurface,8.00E-04,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 1.1 ,N/A,,2.64,,15420.02,12.336016,14545.77158,16346.9694,11.63661726,13.07757552
freshwatersurface,NA,300,5000,doi.org/10.1021/es5036317,doi.org/10.1021/es5036317|1,N/A,,2.64,,11662.85,NA,11019.39088,12343.98531,NA,NA
freshwatersurface,NA,300,5000,doi.org/10.1021/es5036317,doi.org/10.1021/es5036317|2.1,N/A,,2.64,,11662.85,NA,11019.39088,12343.98531,NA,NA
freshwatersurface,NA,300,5000,doi.org/10.1021/es5036317,doi.org/10.1021/es5036317|4.1,N/A,,2.64,,11662.85,NA,11019.39088,12343.98531,NA,NA
freshwatersurface,NA,300,5000,doi.org/10.1021/es5036317,doi.org/10.1021/es5036317|3.1,N/A,,2.64,,11662.85,NA,11019.39088,12343.98531,NA,NA
freshwatersurface,0.00066086,300,5000,doi.org/10.1021/es5036317,doi.org/10.1021/es5036317|2.2,N/A,,2.64,,11662.85,7.707511051,11019.39088,12343.98531,7.28227466,8.157646131
freshwatersurface,0.000617447,300,5000,doi.org/10.1021/es5036317,doi.org/10.1021/es5036317|4.2,N/A,,2.64,,11662.85,7.201191744,11019.39088,12343.98531,6.803889843,7.621756697
freshwatersurface,0.000546067,300,5000,doi.org/10.1021/es5036317,doi.org/10.1021/es5036317|3.4,N/A,,2.64,,11662.85,6.368697511,11019.39088,12343.98531,6.017325722,6.740643026
freshwatersurface,0.000398547,300,5000,doi.org/10.1021/es5036317,doi.org/10.1021/es5036317|1.4,N/A,,2.64,,11662.85,4.648193879,11019.39088,12343.98531,4.391745179,4.919658313
freshwatersurface,0.00036944,300,5000,doi.org/10.1021/es5036317,doi.org/10.1021/es5036317|2.4,N/A,,2.64,,11662.85,4.308723304,11019.39088,12343.98531,4.071003768,4.560361932
freshwatersurface,3.69E-05,300,5000,doi.org/10.1021/es5036317,doi.org/10.1021/es5036317|4.5,N/A,,2.64,,11662.85,0.430281024,11019.39088,12343.98531,0.406615524,0.455493058
freshwatersurface,0.000363593,300,5000,doi.org/10.1021/es5036317,doi.org/10.1021/es5036317|4.3,N/A,,2.64,,11662.85,4.24053062,11019.39088,12343.98531,4.00657339,4.48818665
freshwatersurface,0.000249433,300,5000,doi.org/10.1021/es5036317,doi.org/10.1021/es5036317|3.2,N/A,,2.64,,11662.85,2.909099664,11019.39088,12343.98531,2.748599726,3.078997287
freshwatersurface,0.000240087,300,5000,doi.org/10.1021/es5036317,doi.org/10.1021/es5036317|2.5,N/A,,2.64,,11662.85,2.800098668,11019.39088,12343.98531,2.645612499,2.963630401
freshwatersurface,0.00198618,300,5000,doi.org/10.1021/es5036317,doi.org/10.1021/es5036317|1.3,N/A,,2.64,,11662.85,23.16451941,11019.39088,12343.98531,21.88649379,24.51737674
freshwatersurface,0.00173202,300,5000,doi.org/10.1021/es5036317,doi.org/10.1021/es5036317|2.3,N/A,,2.64,,11662.85,20.20028946,11019.39088,12343.98531,19.0858054,21.38002943
freshwatersurface,0.000123827,300,5000,doi.org/10.1021/es5036317,doi.org/10.1021/es5036317|3.5,N/A,,2.64,,11662.85,1.444175727,11019.39088,12343.98531,1.364498115,1.528518669
freshwatersurface,0.00088612,300,5000,doi.org/10.1021/es5036317,doi.org/10.1021/es5036317|1.5,N/A,,2.64,,11662.85,10.33468464,11019.39088,12343.98531,9.76450265,10.93825226
freshwatersurface,0.000879853,300,5000,doi.org/10.1021/es5036317,doi.org/10.1021/es5036317|3.3,N/A,,2.64,,11662.85,10.26159356,11019.39088,12343.98531,9.695444128,10.86089251
freshwatersurface,0.000872447,300,5000,doi.org/10.1021/es5036317,doi.org/10.1021/es5036317|1.2,N/A,,2.64,,11662.85,10.17521849,11019.39088,12343.98531,9.613834519,10.76947295
freshwatersurface,7.14E-05,300,5000,doi.org/10.1021/es5036317,doi.org/10.1021/es5036317|4.4,N/A,,2.64,,11662.85,0.833272145,11019.39088,12343.98531,0.786784509,0.881360551
freshwatersurface,12.932,1000,4750,doi.org/10.5894/rgci194,doi.org/10.5894/rgci194 | 3.1,N/A,,2.64,,90180.1,1166209.053,84272.38984,96504.08711,1089810.545,1247990.855
freshwatersurface,0.337,1000,4750,doi.org/10.5894/rgci194,doi.org/10.5894/rgci194 | 2.1,N/A,,2.64,,90180.1,30390.6937,84272.38984,96504.08711,28399.79537,32521.87736
freshwatersurface,0.074,1000,4750,doi.org/10.5894/rgci194,doi.org/10.5894/rgci194 | 1.1,N/A,,2.64,,90180.1,6673.3274,84272.38984,96504.08711,6236.156848,7141.302446
freshwatersurface,0.036,1000,4750,doi.org/10.5894/rgci194,doi.org/10.5894/rgci194 | 3.3,N/A,,2.64,,90180.1,3246.4836,84272.38984,96504.08711,3033.806034,3474.147136
