DOI,Sample_ID,Subsample_ID,cleaned_material,material,material_ratio,Source,normalized_particle.L_concentration,corrected_concentration,material_particle.L_reported,material_particle.L_corrected
10.3389/fchem.2018.00407,20171021 3214GH|10.3389/fchem.2018.00407,N/A,PE,PE,0.1,drinkingwater,66.7,86.71,6.67,8.671
10.3389/fchem.2018.00407,20171103 2106WF|10.3389/fchem.2018.00407,N/A,PE,PE,0.1,drinkingwater,67.1,87.23,6.71,8.723
10.1016/j.sciotenv.2018.08.102,WTP1_Treated|10.1016/j.sciotenv.2018.08.178,N/A,PE,PE,0.12,drinkingwater,443,159.48,53.16,19.1376
10.1016/j.sciotenv.2018.08.102,WTP2_Treated|10.1016/j.sciotenv.2018.08.178,N/A,PE,PE,0.12,drinkingwater,338,121.68,40.56,14.6016
10.1016/j.sciotenv.2018.08.102,WTP3_Treated|10.1016/j.sciotenv.2018.08.178,N/A,PE,PE,0.12,drinkingwater,628,226.08,75.36,27.1296
10.1016/j.scitotenv.2021.150545,A_BioTreatment|10.1016/j.scitotenv.2021.150545,A_BioTreatment_PE|10.1016/j.scitotenv.2021.150545,PE,PE,1,drinkingwater,610,366,610,366
10.1016/j.scitotenv.2021.150545,A_Sedimentation|10.1016/j.scitotenv.2021.150545,A_Sedimentation_PE|10.1016/j.scitotenv.2021.150545,PE,PE,1,drinkingwater,1186,711.6,1186,711.6
10.1016/j.scitotenv.2021.150545,A_Ozonation|10.1016/j.scitotenv.2021.150545,A_Ozonation_PE|10.1016/j.scitotenv.2021.150545,PE,PE,1,drinkingwater,353.2,211.92,353.2,211.92
10.1016/j.scitotenv.2021.150545,A_BAC|10.1016/j.scitotenv.2021.150545,A_BAC_PE|10.1016/j.scitotenv.2021.150545,PE,PE,1,drinkingwater,271.2,162.72,271.2,162.72
10.1016/j.scitotenv.2021.150545,A_Flocc|10.1016/j.scitotenv.2021.150545,A_Flocc_PE|10.1016/j.scitotenv.2021.150545,PE,PE,1,drinkingwater,62.7,37.62,62.7,37.62
10.1016/j.scitotenv.2021.150545,A_Sand|10.1016/j.scitotenv.2021.150545,A_Sand_PE|10.1016/j.scitotenv.2021.150545,PE,PE,1,drinkingwater,280.6,168.36,280.6,168.36
10.1016/j.scitotenv.2021.150545,A_Treated|10.1016/j.scitotenv.2021.150545,A_Treated_PE|10.1016/j.scitotenv.2021.150545,PE,PE,1,drinkingwater,180.1,108.06,180.1,108.06
10.1371/journal.pone.0236838,Mintenig|10.1371/journal.pone.0236838,N/A,PE,PE,0.62,drinkingwater,7.00E-04,0.000252,0.000434,0.00015624
10.1016/j.impact.2021.100302,MineralWater_SingleUsePET|10.1016/j.impact.2021.100302,N/A,PE,PE,0.007,drinkingwater,2649,953.64,18.543,6.67548
10.1016/j.impact.2021.100302,MineralWater_ReusablePET|10.1016/j.impact.2021.100302,N/A,PE,PE,0.007,drinkingwater,4889,1760.04,34.223,12.32028
10.1016/j.impact.2021.100302,MineralWater_Glass|10.1016/j.impact.2021.100302,N/A,PE,PE,0.007,drinkingwater,6292,2265.12,44.044,15.85584
10.1016/j.impact.2021.100302,RawDrinkingWater|10.1016/j.impact.2021.100302,RawDrinkingWater.1|10.1016/j.impact.2021.100302,PE,PE,0.08,drinkingwater,1473,530.28,117.84,42.4224
10.1016/j.impact.2021.100302,RawDrinkingWater|10.1016/j.impact.2021.100302,RawDrinkingWater.2|10.1016/j.impact.2021.100302,PE,PE,0.08,drinkingwater,1812,652.32,144.96,52.1856
10.1016/j.impact.2021.100302,RawDrinkingWater|10.1016/j.impact.2021.100302,RawDrinkingWater.3|10.1016/j.impact.2021.100302,PE,PE,0.08,drinkingwater,3605,1297.8,288.4,103.824
10.1016/j.impact.2021.100302,TapWater|10.1016/j.impact.2021.100302,N/A,PE,PE,0.267,drinkingwater,440,158.4,117.48,42.2928
10.1016/j.cotox.2021.09.003,Kankanige1|10.1016/j.cotox.2021.09.003,N/A,PE,PE,0.242,drinkingwater,140,140,33.88,33.88
10.1016/j.cotox.2021.09.003,Kankanige2|10.1016/j.cotox.2021.09.003,N/A,PE,PE,0.242,drinkingwater,52,52,12.584,12.584
10.1016/j.cotox.2021.09.003,Kankanige3|10.1016/j.cotox.2021.09.003,Kankanige3.1.10.1016/j.cotox.2021.09.003,PE,PE,0.242,drinkingwater,56,56,13.552,13.552
10.1016/j.cotox.2021.09.003,Kankanige3|10.1016/j.cotox.2021.09.003,Kankanige3.2.10.1016/j.cotox.2021.09.003,PE,PE,0.242,drinkingwater,14,14,3.388,3.388
10.1016/j.cotox.2021.09.003,Kankanige3|10.1016/j.cotox.2021.09.003,Kankanige3.3.10.1016/j.cotox.2021.09.003,PE,PE,0.242,drinkingwater,13,13,3.146,3.146
10.1016/j.cotox.2021.09.003,Kankanige3|10.1016/j.cotox.2021.09.003,Kankanige3.4.10.1016/j.cotox.2021.09.003,PE,PE,0.242,drinkingwater,6,6,1.452,1.452
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,1|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,125,45,33.375,12.015
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,2|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,0,0,0,0
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,3|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,249,89.64,66.483,23.93388
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,4|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,872,313.92,232.824,83.81664
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,5|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,249,89.64,66.483,23.93388
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,6|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,374,134.64,99.858,35.94888
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,7|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,499,179.64,133.233,47.96388
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,8|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,249,89.64,66.483,23.93388
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,9|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,499,179.64,133.233,47.96388
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,10|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,374,134.64,99.858,35.94888
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,11|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,249,89.64,66.483,23.93388
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,12|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,249,89.64,66.483,23.93388
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,13|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,249,89.64,66.483,23.93388
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,14|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,374,134.64,99.858,35.94888
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,15|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,748,269.28,199.716,71.89776
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,16|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,374,134.64,99.858,35.94888
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,17|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,1247,448.92,332.949,119.86164
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,18|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,623,224.28,166.341,59.88276
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,19|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,499,179.64,133.233,47.96388
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,20|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,374,134.64,99.858,35.94888
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,21|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,125,45,33.375,12.015
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,22|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,499,179.64,133.233,47.96388
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,23|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,249,89.64,66.483,23.93388
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,24|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,499,179.64,133.233,47.96388
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,25|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,249,89.64,66.483,23.93388
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,26|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,0,0,0,0
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,27|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,1247,448.92,332.949,119.86164
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,28|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,374,134.64,99.858,35.94888
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,29|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,623,224.28,166.341,59.88276
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,30|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,499,179.64,133.233,47.96388
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,31|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,499,179.64,133.233,47.96388
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,32|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,374,134.64,99.858,35.94888
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,33|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,748,269.28,199.716,71.89776
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,34|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,623,224.28,166.341,59.88276
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,35|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,249,89.64,66.483,23.93388
