items,items_raw,count
Nurdle,beads,0.004746
Nurdle,beads,0.002391472
Nurdle,beads,0.000152868
Nurdle,beads,0.000437447
Nurdle,beads,0.001175402
Nurdle,beads,0.000609
Nurdle,beads,0.000225102
Sphere,spheres,4.78E-05
Sphere,spherical,9.45
Sphere,spherical,5.4
Sphere,spherical,27
Sphere,spherical,2.55
Foam,styrofoam,0.00025014
