DOI,Sample_ID,Subsample_ID,cleaned_morphology,morphology,morph_ratio,Source,normalized_particle.L_concentration,corrected_concentration,morph_particle.L_reported,morph_particle.L_corrected
10.1016/j.scitotenv.2021.148001,Aut|10.1016/j.scitotenv.2021.148001,N/A,Fragment,Fragment,0.0772,drinkingwater,0.75,0.75,0.0579,0.0579
10.1016/j.scitotenv.2021.148001,Win|10.1016/j.scitotenv.2021.148001,N/A,Fragment,Fragment,0.0772,drinkingwater,0.54,0.54,0.041688,0.041688
http://dce2.au.dk/pub/SR291.pdf ,1|http://dce2.au.dk/pub/SR291.pdf ,1a|http://dce2.au.dk/pub/SR291.pdf ,Fiber,Fiber,0.86,drinkingwater,0.58,4.0484,0.4988,3.481624
http://dce2.au.dk/pub/SR291.pdf ,1|http://dce2.au.dk/pub/SR291.pdf ,1b|http://dce2.au.dk/pub/SR291.pdf ,Fiber,Fiber,0.72,drinkingwater,0.36,2.5128,0.2592,1.809216
http://dce2.au.dk/pub/SR291.pdf ,2|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fiber,Fiber,0.78,drinkingwater,0.32,2.2336,0.2496,1.742208
http://dce2.au.dk/pub/SR291.pdf ,3|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fiber,Fiber,1,drinkingwater,0.24,1.6752,0.24,1.6752
http://dce2.au.dk/pub/SR291.pdf ,4|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fiber,Fiber,0.62,drinkingwater,0.26,1.8148,0.1612,1.125176
http://dce2.au.dk/pub/SR291.pdf ,5|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fiber,Fiber,0.86,drinkingwater,0.14,0.9772,0.1204,0.840392
http://dce2.au.dk/pub/SR291.pdf ,6|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fiber,Fiber,0.9,drinkingwater,0.22,1.5356,0.198,1.38204
http://dce2.au.dk/pub/SR291.pdf ,7|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fiber,Fiber,1,drinkingwater,0.2,1.396,0.2,1.396
http://dce2.au.dk/pub/SR291.pdf ,8|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fiber,Fiber,0.67,drinkingwater,0.6,4.188,0.402,2.80596
http://dce2.au.dk/pub/SR291.pdf ,9|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fiber,Fiber,0.84,drinkingwater,0.24,1.6752,0.2016,1.407168
http://dce2.au.dk/pub/SR291.pdf ,10|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fiber,Fiber,1,drinkingwater,0.26,1.8148,0.26,1.8148
http://dce2.au.dk/pub/SR291.pdf ,11|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fiber,Fiber,1,drinkingwater,0.22,1.5356,0.22,1.5356
http://dce2.au.dk/pub/SR291.pdf ,12|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fiber,Fiber,0.74,drinkingwater,0.54,3.7692,0.3996,2.789208
http://dce2.au.dk/pub/SR291.pdf ,13|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fiber,Fiber,1,drinkingwater,0.18,1.2564,0.18,1.2564
http://dce2.au.dk/pub/SR291.pdf ,14|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fiber,Fiber,1,drinkingwater,0.08,0.5584,0.08,0.5584
http://dce2.au.dk/pub/SR291.pdf ,15|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fiber,Fiber,0.74,drinkingwater,0.38,2.6524,0.2812,1.962776
http://dce2.au.dk/pub/SR291.pdf ,16|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fiber,Fiber,0.7,drinkingwater,0.34,2.3732,0.238,1.66124
http://dce2.au.dk/pub/SR291.pdf ,17|http://dce2.au.dk/pub/SR291.pdf ,N/A,Fiber,Fiber,0.92,drinkingwater,0.26,1.8148,0.2392,1.669616
10.3389/fchem.2018.00407,IB|101119.10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,37.1,48.23,4.823,6.2699
10.3389/fchem.2018.00407,BB 311019 08: 11 PSRL6|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,705,916.5,91.65,119.145
10.3389/fchem.2018.00407,BB 311019 09: 50 STB1|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,404,525.2,52.52,68.276
10.3389/fchem.2018.00407,Oct0719|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,252,327.6,32.76,42.588
10.3389/fchem.2018.00407,BN7141A04117|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,174,226.2,22.62,29.406
10.3389/fchem.2018.00407,HE.B.No 229 (BM/AS)|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,826,1073.8,107.38,139.594
10.3389/fchem.2018.00407,MU.N.No.298 (MA/AD)|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,213,276.9,27.69,35.997
10.3389/fchem.2018.00407,SO.B No.087 (AS/LB)|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,3.72,4.836,0.4836,0.62868
