source,material,n,density,lower_conf,upper_conf
win_DB,Nylon 612,322,1.248,1.240229754,1.255770246
win_DB,Styrene-Butadiene Thermoplastics,298,1.01,1.001921944,1.018078056
win_DB,Liquid Crystal Polymer,260,1.65,1.641350101,1.658649899
win_DB,Cellulosic,244,1.19,1.181070284,1.198929716
win_DB,Polyethersulfone,234,1.49,1.480881017,1.499118983
win_DB,Styrene Acrylonitrile (SAN),207,1.08,1.070303212,1.089696788
win_DB,Polysulfone,195,1.32,1.310008702,1.329991298
win_DB,Nylon 610,184,1.25,1.239713818,1.260286182
win_DB,PVDF,176,1.78,1.769482217,1.790517783
win_DB,"Polyimide, Thermoplastic",160,1.42,1.408967973,1.431032027
win_DB,Polylactic Acid (PLA),134,1.24,1.227943549,1.252056451
win_DB,ETFE-ECTFE,131,1.72,1.707806097,1.732193903
win_DB,Nylon 11,131,1.1,1.087806097,1.112193903
win_DB,Thermoset Polyimide,126,1.42,1.407566197,1.432433803
win_DB,Aramid,121,0.31,0.297311582,0.322688418
win_DB,Ionomer,118,0.9505,0.937651108,0.963348892
win_DB,Ethylene Methyl Acrylate,114,0.942,0.928927371,0.955072629
win_DB,PFA,82,2.1475,2.132083777,2.162916223
win_DB,Siloxane,34,1.15,1.126053075,1.173946925
kooi_2019,PE,N/A,1.01,0.751493863,1.268506137
Parent,Polyesters,N/A,1.01,0.751493863,1.268506137
kooi_2019,PA,N/A,1.145,0.886493863,1.403506137
Parent,Polyamides (POLYLACTAMS),N/A,1.145,0.886493863,1.403506137
kooi_2019,PS,N/A,1.09,0.831493863,1.348506137
kooi_2019,PVA,N/A,1.28,1.021493863,1.538506137
Parent,Polyvinylalcohols,N/A,1.28,1.021493863,1.538506137
polymerdatabase.com,Poly(acrylamide),N/A,1.3,1.278296133,1.321703867
polymerdatabase.com,Poly(N-isopropyl acrylamide),N/A,1.05,1.028296133,1.071703867
polymerdatabase.com,Poly(N-octyl acrylamide),N/A,1,0.978296133,1.021703867
