,Min,Max,Value,Test Name,Comment,ID,density,polymer
31476,NA,NA,1.22,ASTM D792,NA,38521,1.22,Vinyl (PVC)
31477,NA,NA,1.68,ISO 1183/A,NA,38522,1.68,Nylon 6
31478,NA,NA,0.9,ASTM D1505,NA,38523,0.9,PP
31479,NA,NA,1.27,ASTM D792,NA,38524,1.27,Thermoplastic Elastomers
31480,NA,NA,1.57,ASTM D792,NA,38525,1.57,PC
31481,NA,NA,1.19,DIN 53479,NA,38526,1.19,Thermoplastic Elastomers
31482,NA,NA,1.14,ASTM D792,NA,38530,1.14,PP
31483,NA,NA,1.22,ASTM D792,NA,38531,1.22,Vinyl (PVC)
31484,NA,NA,0.9,ASTM D792,NA,38532,0.9,PP
31485,NA,NA,1.37,ASTM D792,NA,38535,1.37,Vinyl (PVC)
31486,NA,NA,1.38,ASTM D792,NA,38536,1.38,Polyphenylene Sulfide (PPS)
31487,NA,NA,1.45,ASTM D792,NA,38537,1.45,Polysulfone
31488,NA,NA,1.14,ASTM D792,NA,38538,1.14,PP
31489,NA,NA,1.34,NA,NA,38539,1.34,Vinyl (PVC)
31490,NA,NA,0.91,ASTM D1505,NA,38540,0.91,LLDPE
31491,NA,NA,1.6,ASTM D792,NA,38541,1.6,Thermoset Polyester
31492,NA,NA,1.17,ASTM D792,NA,38542,1.17,ABS
31493,NA,NA,0.988,ASTM D792,NA,38543,0.988,Thermoplastic Elastomers
31494,NA,NA,1.05,ISO 1183,NA,38544,1.05,ABS
31495,NA,NA,0.95,ASTM D792,NA,38548,0.95,Thermoplastic Elastomers
31496,NA,NA,1.25,NA,NA,38549,1.25,ABS
31497,NA,NA,1.25,NA,NA,38549,1.25,PC
31498,NA,NA,1.39,ASTM D792,NA,38550,1.39,Vinyl (PVC)
31499,NA,NA,1.68,ASTM D792,NA,38552,1.68,Polybutylene Terephthalate
31500,NA,NA,0.949,ASTM D792,NA,38553,0.949,HDPE
31501,NA,NA,2.15,NA,NA,38554,2.15,Rubber or Thermoset Elastomer
31502,NA,NA,2.15,NA,NA,38554,2.15,Silicone
31503,NA,NA,1.17,ASTM D792,NA,38555,1.17,Nylon 610
31504,NA,NA,1.24,ASTM D792,NA,38556,1.24,Nylon 6
31505,NA,NA,1.41,ISO 1183,Dry,38557,1.41,Nylon 46
31506,NA,NA,1.25,ASTM D792,NA,38558,1.25,PC
31507,NA,NA,1.24,ASTM D792,NA,38559,1.24,Nylon 66
31508,NA,NA,0.92,ASTM D1475,NA,38560,0.92,AcrylicCyanoacrylate Adhesive
31509,NA,NA,0.98,NA,NA,38561,0.98,Rubber or Thermoset Elastomer
31510,NA,NA,1.7,ASTM D792,NA,38562,1.7,Polybutylene Terephthalate
31511,NA,NA,2,NA,NA,38563,2,Epoxy
31512,NA,NA,1.2,ASTM D792,NA,38564,1.2,PC
31513,NA,NA,0.9,ASTM D792B,NA,38565,0.9,PP
31514,NA,NA,1.13,ASTM D792,Dry,38566,1.13,Nylon 6
31515,NA,NA,0.94,ASTM D792,NA,38567,0.94,PP
31516,1.36,1.4,NA,ASTM D792,NA,38570,1.38,Vinyl (PVC)
31517,NA,NA,0.91,ASTM D1505,NA,38571,0.91,LLDPE
31518,NA,NA,1.14,ISO 1183,NA,38572,1.14,PP
31519,NA,NA,1.71,NA,NA,38573,1.71,Thermoset Polyester
31520,NA,NA,0.9,ASTM D1505,NA,38574,0.9,PP
31521,NA,NA,0.952,ASTM D1505,NA,38575,0.952,HDPE
31522,1.12,1.15,NA,ISO 1183,NA,38576,1.135,Nylon 6
31523,NA,NA,1.2,ASTM D792,NA,38577,1.2,PC
31524,NA,NA,1.31,ASTM D792,NA,38579,1.31,Cellulosic
31525,NA,NA,1.21,ISO 1183,NA,38580,1.21,ABS
31526,NA,NA,1.21,ISO 1183,NA,38580,1.21,PC
31527,NA,NA,1.21,ISO 1183,NA,38581,1.21,ABS
31528,NA,NA,1.21,ISO 1183,NA,38581,1.21,PC
31529,NA,NA,0.89,ASTM D792,NA,38582,0.89,Thermoplastic Elastomers
31530,NA,NA,1.16,NA,NA,38583,1.16,Thermoset Polyester
31531,NA,NA,1.32,ASTM D792,NA,38584,1.32,Rubber or Thermoset Elastomer
31532,NA,NA,1.37,ISO 1183,NA,38585,1.37,Polybutylene Terephthalate
31533,NA,NA,1.2,ASTM D1475,NA,38586,1.2,Epoxy
31534,NA,NA,1.58,ISO 1183/A,NA,38587,1.58,Polyphthalamide (PPA)
31535,NA,NA,1.61,ISO 1183,NA,38588,1.61,Polybutylene Terephthalate
31536,NA,NA,1.14,NA,NA,38589,1.14,Rubber or Thermoset Elastomer
31537,NA,NA,1.14,NA,NA,38589,1.14,Silicone
31538,0.009,0.015,NA,DIN 4102,NA,38590,0.012,Polystyrene
31539,NA,NA,1.11,DIN 53479-A,NA,38591,1.11,Silicone
31540,NA,NA,1.44,NA,NA,38592,1.44,Vinyl (PVC)
31541,NA,NA,0.905,ASTM D792A,NA,38594,0.905,PP
31542,NA,NA,1.14,ASTM D792,NA,38597,1.14,Nylon 66
31543,NA,NA,0.9225,ASTM D1505,NA,38598,0.9225,LDPE
31544,NA,NA,0.96,ASTM D1505,NA,38601,0.96,HDPE
31545,NA,NA,1.13,NA,NA,38603,1.13,Epoxy
31546,NA,NA,1.3,ASTM D 792,NA,38604,1.3,PC
31547,NA,NA,1.48,ASTM D792,NA,38606,1.48,Nylon 6
31548,NA,NA,1.29,ASTM D792,NA,38607,1.29,Polysulfone
31549,NA,NA,1.64,ASTM D792,NA,38608,1.64,Polyphthalamide (PPA)
31550,NA,NA,1.12,NA,NA,38609,1.12,Silicone
31551,NA,NA,1.13,ISO 1183,dry,38612,1.13,Nylon 6
31552,NA,NA,1.57,ASTM D 792,NA,38613,1.57,Polyphthalamide (PPA)
31553,NA,NA,1.41,ISO 1183,NA,38614,1.41,Polybutylene Terephthalate
31554,NA,NA,1.32,ASTM D792,NA,38615,1.32,Vinyl (PVC)
31555,NA,NA,1.15,NA,NA,38616,1.15,Silicone
31556,NA,NA,0.98,NA,NA,38617,0.98,Rubber or Thermoset Elastomer
31557,NA,NA,1.135,ISO 1183:1987,NA,38620,1.135,Nylon 6
31558,NA,NA,1.71,ISO 1183,NA,38621,1.71,Polyphenylene Sulfide (PPS)
31559,NA,NA,1.1,ASTM D792,NA,38622,1.1,ABS
31560,NA,NA,1.1,ASTM D792,NA,38622,1.1,Polyethylene Terephthalate
31561,NA,NA,1.13,ISO 1183,dry,38623,1.13,Nylon 6
31562,NA,NA,1.78,NA,NA,38625,1.78,PVDF
31563,NA,NA,0.922,NA,NA,38629,0.922,LLDPE
31564,NA,NA,1.05,NA,NA,38630,1.05,AcrylicCyanoacrylate Adhesive
31565,NA,NA,0.885,NA,NA,38631,0.885,Thermoplastic Elastomers
31566,NA,NA,1.4,NA,NA,38633,1.4,Silicone
31567,NA,NA,1.56,ASTM D792,NA,38634,1.56,PC
31568,NA,NA,1.05,ISO 1183,NA,38635,1.05,ABS
31569,NA,NA,0.97,ASTM D 792,NA,38636,0.97,PP
31570,NA,NA,1.14,ASTM D792,NA,38637,1.14,Nylon 66
31571,NA,NA,1.83,NA,NA,38638,1.83,Thermoplastic Elastomers
31572,NA,NA,0.9,ASTM D1505,NA,38639,0.9,PP
31573,NA,NA,1.37,ASTM D792,NA,38640,1.37,Nylon 66
31574,NA,NA,0.928,NA,NA,38642,0.928,Ethylene Vinyl Acetate
31575,NA,NA,1.14,ASTM D 792,NA,38644,1.14,Nylon 66
31576,NA,NA,1.58,ASTM D 792,NA,38645,1.58,Polyphthalamide (PPA)
31577,NA,NA,0.95,ISO 2781,NA,38648,0.95,Thermoplastic Elastomers
31578,NA,NA,1.49,ASTM D792,Dry,38649,1.49,Nylon 66
31579,NA,NA,1.17,ASTM D792,NA,38650,1.17,Thermoplastic Elastomers
31580,NA,NA,1.11,ASTM D792,NA,38651,1.11,ABS
31581,NA,NA,1.11,ASTM D792,NA,38651,1.11,PC
31582,NA,NA,3.2,JIS-K-6220; ASTM D-792,NA,38652,3.2,Silicone
31583,NA,NA,1.03,ISO 1183,NA,38654,1.03,Nylon 12
31584,NA,NA,1.49,ASTM D792,Dry,38656,1.49,Nylon 6
31585,NA,NA,0.94,ASTM D792,NA,38657,0.94,Thermoplastic Elastomers
31586,NA,NA,0.939,ASTM-D1505,NA,38658,0.939,LLDPE
31587,NA,NA,1.04,ASTM D792,NA,38659,1.04,PP
31588,NA,NA,1.09,NA,NA,38660,1.09,Nylon 6-66
31589,NA,NA,1.6,NA,NA,38661,1.6,Epoxy
31590,NA,NA,1.48,NA,NA,38663,1.48,Rubber or Thermoset Elastomer
31591,NA,NA,1.48,NA,NA,38663,1.48,Silicone
31592,NA,NA,1.2,ASTM D792,NA,38665,1.2,PP
31593,NA,NA,0.93,ASTM D792,NA,38666,0.93,Thermoplastic Elastomers
31594,NA,NA,1.2,NA,NA,38667,1.2,PC
31595,NA,NA,1.6,D792,NA,38669,1.6,Polyethylene Terephthalate
31596,NA,NA,1.079,ISO 1183,NA,38670,1.079,ABS
31597,NA,NA,1.04,NA,NA,38671,1.04,Polystyrene
31598,NA,NA,1.14,ISO 1183,NA,38672,1.14,Nylon 66
31599,NA,NA,1.05,NA,NA,38673,1.05,AcrylicCyanoacrylate Adhesive
31600,NA,NA,1.58,ASTM D792,NA,38674,1.58,Acetal
31601,NA,NA,0.919,ASTM D1505,NA,38675,0.919,LLDPE
31602,NA,NA,0.902,ASTM D1505,NA,38676,0.902,PP
31603,NA,NA,1.12,ISO 1183,NA,38677,1.12,PP
31604,NA,NA,1.05,ASTM D792,NA,38678,1.05,Nylon 6
31605,NA,NA,1.1,ASTM D792,NA,38679,1.1,ABS
31606,NA,NA,1.13,ISO 1183,NA,38680,1.13,PMMA
31607,NA,NA,1.13,ISO 1183,NA,38680,1.13,Thermoplastic Elastomers
31608,NA,NA,1.45,NA,NA,38684,1.45,Silicone
31609,NA,NA,1.35,ISO 1183,NA,38685,1.35,Nylon 6
31610,NA,NA,1.46,ISO 1183,NA,38686,1.46,Nylon 66
31611,NA,NA,1.51,ASTM D 792,NA,38688,1.51,Polyphenylene Sulfide (PPS)
31612,NA,NA,1.06,ASTM D792,NA,38689,1.06,Nylon 6
31613,NA,NA,1.38,NA,NA,38690,1.38,Aramid
31614,NA,NA,1.01,ASTM D792,NA,38691,1.01,Thermoplastic Elastomers
31615,NA,NA,1.39,ASTM D792,NA,38692,1.39,Nylon 6
31616,NA,NA,1.11,NA,NA,38694,1.11,Silicone
31617,NA,NA,1.13,ASTM D792,NA,38695,1.13,Nylon 612
31618,NA,NA,1.1,NA,NA,38696,1.1,Nylon 66
31619,NA,NA,1.46,DIN 53479,NA,38697,1.46,Acetal
31620,NA,NA,1.04,ASTM D792,NA,38698,1.04,ABS
31621,1.95,2.45,NA,ASTM D792,NA,38699,2.2,Silicone
31622,NA,NA,0.89,ISO 1183,NA,38700,0.89,Thermoplastic Elastomers
31623,NA,NA,1.05,ASTM D792,NA,38702,1.05,Polystyrene
31624,NA,NA,1.26,ASTM-D792,NA,38703,1.26,Nylon 66
31625,NA,NA,1.08,ASTM D792,NA,38704,1.08,Polyphenylene EtherPPO
31626,NA,NA,1.2,ISO 1183/A,NA,38705,1.2,PC
31627,NA,NA,0.92,ASTM D1505,NA,38707,0.92,LLDPE
31628,NA,NA,1.22,ASTM D297,NA,38712,1.22,Rubber or Thermoset Elastomer
31629,NA,NA,1.22,ASTM D297,NA,38712,1.22,Silicone
31630,NA,NA,1.36,ASTM D792,NA,38713,1.36,Nylon 6
31631,NA,NA,1.22,ISO 1183,NA,38714,1.22,Thermoplastic Polyurethane
31632,NA,NA,1.08,ASTM D792,NA,38716,1.08,ABS
31633,NA,NA,1.08,ASTM D792,NA,38716,1.08,PC
31634,NA,NA,1.8,ASTM D792,NA,38717,1.8,Silicone
31635,NA,NA,1.166,ASTM D3165,NA,38720,1.166,Rubber or Thermoset Elastomer
31636,NA,NA,1.166,ASTM D3165,NA,38720,1.166,Silicone
31637,2.1,2.2,NA,NA,NA,38722,2.15,PTFE
31638,NA,NA,1.17,ASTM D792,NA,38723,1.17,ABS
31639,NA,NA,1.17,ASTM D792,NA,38723,1.17,PC
31640,NA,NA,1.6,ASTM D792,NA,38725,1.6,PTFE
31641,NA,NA,1.55,ASTM D792,NA,38726,1.55,Nylon 6
31642,NA,NA,1.33,ASTM D792,NA,38727,1.33,Nylon 6
31643,NA,NA,1.22,ISO 1183,NA,38728,1.22,PP
31644,NA,NA,1.06,NA,NA,38729,1.06,Rubber or Thermoset Elastomer
31645,NA,NA,1.52,ASTM D792,NA,38730,1.52,Nylon 66
31646,NA,NA,0.95,ASTM D792,NA,38731,0.95,Styrene-Butadiene Thermoplastics
31647,NA,NA,1.48,ISO 1183,NA,38732,1.48,Nylon 6
31648,NA,NA,0.935,ASTM-D1505,NA,38733,0.935,LLDPE
31649,NA,NA,1.32,NA,NA,38734,1.32,Vinyl (PVC)
31650,NA,NA,1.53,ASTM D 792,NA,38735,1.53,Nylon 6
31651,NA,NA,1.28,ASTM D792,NA,38736,1.28,Polyphenylene EtherPPO
31652,NA,NA,1.6,ASTM D792,NA,38737,1.6,Nylon 66
31653,NA,NA,1.16,ASTM D792,NA,38738,1.16,ABS
31654,NA,NA,1.4,STN EN ISO 1183-1,NA,38739,1.4,Nylon 6
31655,NA,NA,1.45,ASTM D792,NA,38741,1.45,Vinyl (PVC)
31656,NA,NA,0.914,ASTM D1505,NA,38742,0.914,LDPE
31657,NA,0.51,NA,NA,NA,38743,NA,Epoxy
31658,NA,NA,1.19,NA,NA,38744,1.19,ABS
31659,NA,NA,1.19,NA,NA,38744,1.19,PC
31660,NA,NA,0.97,ISO 1183,NA,38745,0.97,PP
31661,NA,NA,0.91,NA,NA,38746,0.91,PP
31662,NA,NA,0.91,NA,NA,38747,0.91,PP
31663,NA,NA,1.13,ISO 1183,NA,38748,1.13,Nylon 6
31664,NA,NA,0.89,ASTM D1505,NA,38750,0.89,PP
31665,NA,NA,1.03,ASTM D 792,NA,38752,1.03,PP
31666,NA,NA,1.29,ASTM D792,NA,38755,1.29,PC
31667,NA,NA,1.69,ISO 1183,NA,38757,1.69,Polyethylene Terephthalate
31668,NA,NA,1.33,NA,NA,38758,1.33,Silicone
