,Min,Max,Value,Test Name,Comment,ID,density,polymer
15068,0.921,0.923,NA,ASTM D1505,NA,18430,0.922,LDPE
15069,NA,NA,1.22,ASTM D792,NA,18433,1.22,Polybutylene Terephthalate
15070,NA,NA,1.22,ASTM D792,NA,18433,1.22,PC
15071,NA,NA,1.38,ASTM D 792,NA,18435,1.38,PC
15072,NA,NA,1.3,ASTM D792,NA,18436,1.3,PC
15073,NA,NA,0.9,ASTM D792,NA,18438,0.9,PP
15074,NA,NA,0.9,ASTM D792,NA,18439,0.9,Thermoplastic Elastomers
15075,NA,NA,1.34,ASTM D792,NA,18440,1.34,Polybutylene Terephthalate
15076,NA,NA,3,NA,NA,18441,3,Epoxy
15077,NA,NA,1.14,ASTM D792,NA,18442,1.14,ABS
15078,NA,NA,1.14,ASTM D792,NA,18442,1.14,PC
15079,NA,NA,1.03,ASTM D792,NA,18443,1.03,Polystyrene
15080,NA,NA,1.22,NA,NA,18444,1.22,Epoxy
15081,NA,NA,0.93,NA,NA,18448,0.93,PP
15082,NA,NA,1.08,ASTM D792,NA,18449,1.08,PP
15083,NA,NA,1.58,ASTM D792,NA,18451,1.58,Liquid Crystal Polymer
15084,NA,NA,1.04,NA,DIN 53479,18453,1.04,Polystyrene
15085,NA,NA,1.1,ASTM D792,NA,18454,1.1,Nylon 66
15086,NA,NA,1.1,ISO 1183,NA,18454,1.1,Nylon 66
15087,NA,NA,1.27,ASTM D792,NA,18455,1.27,PC
15088,NA,NA,1.05,NA,NA,18456,1.05,Silicone
15089,NA,NA,1.47,ASTM D792,NA,18458,1.47,Polyetheretherketone
15090,NA,NA,0.913,ASTM D1505,NA,18461,0.913,LDPE
15091,NA,NA,1.52,ASTM D792,NA,18462,1.52,PC
15092,NA,NA,1.42,NA,NA,18463,1.42,Thermoset Polyimide
15093,NA,NA,1.2,ISO 1183-1,NA,18464,1.2,PC
15094,NA,NA,1.04,ASTM D792,NA,18466,1.04,PP
15095,NA,NA,1.36,ASTM D792,NA,18467,1.36,PC
15096,NA,NA,1.09,ASTM D792,NA,18469,1.09,Nylon 66
15097,NA,NA,0.902,ASTM D792,NA,18470,0.902,PP
15098,NA,NA,1.15,NA,NA,18471,1.15,Thermoplastic Polyurethane
15099,NA,NA,1.38,DIN 53479,NA,18472,1.38,Nylon 66
15100,NA,NA,1.38,NA,Dry,18473,1.38,Nylon 6
15101,NA,NA,0.904,ASTM D792,NA,18474,0.904,Thermoplastic Elastomers
15102,NA,NA,1.19,ISO 2781,NA,18475,1.19,Thermoplastic Polyurethane
15103,NA,NA,1.18,ASTM D792,NA,18476,1.18,PP
15104,NA,NA,1.18,ASTM D792,NA,18476,1.18,Thermoplastic Elastomers
15105,NA,NA,1.37,ISO 1183/A,NA,18477,1.37,Nylon 66
15106,NA,NA,1.31,ISO 1183,NA,18479,1.31,Nylon 66
15107,NA,NA,1.1,ISO 1183,NA,18480,1.1,Nylon 66
15108,NA,NA,0.939,ASTM-D1505,NA,18481,0.939,LLDPE
15109,NA,NA,1.31,ASTM D 792,NA,18482,1.31,Nylon 66
15110,NA,NA,0.9,ASTM D1505,NA,18483,0.9,PP
15111,NA,NA,1.24,ASTM D792,NA,18484,1.24,PP
15112,NA,NA,0.932,ASTM 792,NA,18485,0.932,Thermoplastic Elastomers
15113,NA,NA,1.2,DIN 53479,NA,18486,1.2,ABS
15114,NA,NA,1.1,NA,NA,18489,1.1,AcrylicCyanoacrylate Adhesive
15115,NA,NA,1.42,ISO 1183,NA,18490,1.42,Nylon 66
15116,NA,NA,1.2,ISO 1183,NA,18491,1.2,Nylon 66
15117,NA,NA,2.17,ASTM D792,NA,18492,2.17,PTFE
15118,NA,NA,1.14,ASTM D792,NA,18493,1.14,Thermoplastic Elastomers
15119,NA,NA,1.2,NA,NA,18495,1.2,PC
15120,NA,NA,1.45,ASTM D792,NA,18496,1.45,Phenolic
15121,0.925,0.927,NA,ASTM D1505,NA,18497,0.926,LDPE
15122,NA,NA,0.95,ASTM 792,NA,18498,0.95,Thermoplastic Elastomers
15123,NA,NA,0.918,ISO 1183,NA,18499,0.918,LDPE
15124,NA,NA,1.08,ASTM D792,NA,18501,1.08,Nylon 66
15125,NA,NA,1.29,NA,NA,18502,1.29,Vinyl (PVC)
15126,NA,NA,1.04,NA,NA,18503,1.04,ABS
15127,1.2,1.4,NA,IEC 1212-2 7.2,NA,18504,1.3,Phenolic
15128,NA,NA,1.19,ASTM D792,NA,18505,1.19,PMMA
15129,NA,NA,0.918,ISO 1183-A,NA,18506,0.918,LDPE
15130,NA,NA,0.926,ASTM D1505,NA,18507,0.926,LLDPE
15131,NA,NA,0.857,ASTM D792,NA,18508,0.857,Thermoplastic Elastomers
15132,NA,NA,2.3,JIS-K-6220; ASTM D-792,NA,18509,2.3,Silicone
15133,NA,NA,0.94,ISO 2781,NA,18510,0.94,Styrene-Butadiene Thermoplastics
15134,NA,NA,1,ASTM 792,NA,18511,1,Thermoplastic Elastomers
15135,NA,NA,1.38,ASTM D792,NA,18512,1.38,Nylon 6
15136,NA,NA,1.37,ISO 1183,NA,18512,1.37,Nylon 6
15137,NA,NA,1.42,ASTM D792,NA,18513,1.42,Nylon 612
15138,NA,NA,1.45,ISO 1183,NA,18514,1.45,Polybutylene Terephthalate
15139,NA,NA,1.08,ASTM D792,NA,18515,1.08,PP
15140,NA,NA,1.18,ISO 1183,NA,18516,1.18,Thermoplastic Polyurethane
15141,NA,NA,1.23,ISO 1183,NA,18517,1.23,PP
15142,NA,NA,1.32,ASTM D 792,NA,18518,1.32,Nylon 66
15143,NA,NA,0.951,ISO 1183,NA,18519,0.951,HDPE
15144,NA,NA,1.04,ASTM D792,NA,18521,1.04,Polystyrene
15145,NA,NA,0.87,ASTM D792,NA,18522,0.87,Thermoplastic Elastomers
15146,NA,NA,1.07,ASTM D792,NA,18523,1.07,Thermoplastic Elastomers
15147,NA,NA,1.19,ASTM D792,NA,18524,1.19,Vinyl (PVC)
15148,NA,NA,1.14,ASTM D792,NA,18525,1.14,Nylon 66
15149,NA,NA,0.942,ASTM D 4883,NA,18526,0.942,HDPE
15150,1.31,1.35,NA,ISO R 1183,NA,18527,1.33,Vinyl (PVC)
15151,NA,NA,1.13,ASTM D792,NA,18529,1.13,PP
15152,0.015,0.02,NA,NA,NA,18530,0.0175,Polystyrene
15153,NA,NA,0.96,ISO 1183,NA,18532,0.96,HDPE
15154,NA,NA,2.5,NA,NA,18533,2.5,Epoxy
15155,NA,NA,1.54,ISO 1183/A,NA,18534,1.54,Nylon 66
15156,1.4,1.44,NA,ASTM D-792,NA,18535,1.42,Vinyl (PVC)
15157,NA,NA,1.04,ASTM D792,NA,18536,1.04,Polystyrene
15158,0.96,0.97,NA,NA,NA,18537,0.965,Silicone
15159,NA,NA,2.15,ISO 1183,NA,18539,2.15,PTFE
15160,NA,NA,1.25,ASTM D792,NA,18541,1.25,Nylon 6
15161,NA,NA,1.47,ASTM D792,NA,18542,1.47,Nylon 66
15162,NA,NA,1.11,ISO 1183,NA,18543,1.11,Nylon 66
15163,NA,NA,0.42,ASTM D3574,NA,18544,0.42,PP
15164,NA,NA,1.37,ASTM D792,NA,18545,1.37,Vinyl (PVC)
15165,NA,NA,1.88,NA,NA,18547,1.88,Epoxy
15166,NA,NA,1.5,ISO 1183,NA,18548,1.5,Nylon 6
15167,1.31,1.37,NA,NA,NA,18549,1.34,Epoxy
15168,NA,NA,1.47,ISO 1183,NA,18550,1.47,Polybutylene Terephthalate
15169,NA,NA,1.47,ISO 1183,NA,18550,1.47,Polyethylene Terephthalate
15170,NA,NA,1.44,ASTM D792,NA,18551,1.44,Vinyl (PVC)
15171,NA,NA,1.47,NA,NA,18553,1.47,Silicone
15172,NA,NA,1.27,ASTM D792,NA,18555,1.27,ABS
15173,NA,NA,1.27,ASTM D792,NA,18555,1.27,PC
15174,NA,NA,1.07,ASTM D792,NA,18556,1.07,Acrylonitrile-Styrene-Acrylate 
15175,NA,NA,1.6,NA,NA,18558,1.6,Epoxy
15176,NA,NA,1.27,ISO 1183,NA,18559,1.27,Acrylonitrile-Styrene-Acrylate 
15177,NA,NA,1.27,ISO 1183,NA,18559,1.27,Polybutylene Terephthalate
15178,NA,NA,0.917,NA,NA,18561,0.917,LDPE
15179,NA,NA,0.93,NA,NA,18563,0.93,Thermoplastic Elastomers
15180,NA,NA,0.936,ASTM D4883,NA,18564,0.936,LLDPE
15181,NA,NA,1.5,ASTM D792,NA,18566,1.5,Nylon 66
15182,NA,NA,1.08,NA,NA,18567,1.08,PP
15183,NA,NA,1.22,ISO 1183,NA,18568,1.22,Thermoplastic Polyurethane
15184,NA,NA,1.23,ISO 1183,dry,18569,1.23,Nylon 66
15185,NA,NA,1.14,ISO 1183,NA,18572,1.14,Nylon 6
15186,NA,NA,1.1,ASTM D792,NA,18574,1.1,ABS
15187,NA,NA,1.48,ISO 1183,NA,18575,1.48,PC
15188,NA,NA,1.13,ISO 1183,dry,18576,1.13,Nylon 6
15189,NA,NA,2.5,ASTM D 792,NA,18577,2.5,PP
15190,NA,NA,1.49,ISO 1183/A,NA,18578,1.49,Polyphthalamide (PPA)
15191,NA,NA,1.04,ISO 1183,NA,18579,1.04,Polystyrene
15192,NA,NA,1.13,ISO 1183,Dry,18580,1.13,Nylon 6
15193,NA,NA,1.15,ISO 1183,NA,18581,1.15,PMMA
15194,NA,NA,1.33,ASTM D792,NA,18582,1.33,Polylactic Acid (PLA)
15195,NA,NA,1.2,ASTM D792,NA,18583,1.2,Vinyl (PVC)
15196,NA,NA,1.35,ASTM D792,NA,18584,1.35,Vinyl (PVC)
15197,NA,NA,0.97,ASTM D792 and ISO 1183,NA,18585,0.97,Thermoplastic Elastomers
15198,NA,NA,1.15,ISO 1183/A,NA,18586,1.15,Nylon 66
15199,NA,NA,1.78,ASTM D792,NA,18587,1.78,PVDF
15200,NA,NA,1.14,ISO 1183,NA,18588,1.14,Nylon 66
15201,NA,NA,0.948,ASTM D1505,NA,18589,0.948,HDPE
15202,NA,NA,1.37,ISO 1183/A,NA,18590,1.37,Nylon 66
15203,NA,NA,1.19,ASTM D792,NA,18592,1.19,PMMA
15204,NA,NA,0.921,ASTM D1505,NA,18593,0.921,LLDPE
15205,NA,NA,1.2,ISO 1183,NA,18595,1.2,PC
15206,NA,NA,1.54,ISO 1183,NA,18596,1.54,Polybutylene Terephthalate
15207,NA,NA,0.955,ASTM D1505,NA,18597,0.955,HDPE
15208,NA,NA,0.9,NA,Foam; ASTM D792,18598,0.9,ABS
15209,NA,NA,0.9,NA,Foam; ASTM D792,18598,0.9,PC
15210,NA,NA,1.18,NA,NA,18598,1.18,ABS
15211,NA,NA,1.18,NA,NA,18598,1.18,PC
15212,NA,NA,1.3,ASTM D792,NA,18599,1.3,Vinyl (PVC)
15213,NA,NA,2.06,NA,NA,18600,2.06,Epoxy
15214,NA,NA,1.2,ASTM D792,NA,18601,1.2,PC
15215,NA,NA,1.47,ASTM D792,NA,18603,1.47,Nylon 66
15216,NA,NA,1.44,NA,NA,18604,1.44,Vinyl (PVC)
15217,NA,NA,0.88,ASTM D792,NA,18605,0.88,Thermoplastic Elastomers
15218,NA,NA,0.946,ASTM D1505,NA,18606,0.946,HDPE
15219,NA,NA,1.052,ASTM D792,NA,18607,1.052,PP
15220,NA,NA,1.17,ASTM D792,NA,18608,1.17,PC
15221,NA,NA,0.89,ASTM D792,NA,18609,0.89,Thermoplastic Elastomers
15222,NA,NA,1.05,ASTM D792,NA,18613,1.05,Polystyrene
15223,NA,NA,1.28,DIN 53479,NA,18614,1.28,PC
15224,NA,NA,1.24,NA,NA,18615,1.24,Vinyl (PVC)
15225,NA,NA,0.954,ASTM D1505,NA,18616,0.954,HDPE
15226,NA,1.13,NA,ISO 1183,NA,18617,NA,Polystyrene
15227,NA,NA,0.938,ISO 1183,NA,18618,0.938,HDPE
15228,NA,NA,0.92,ASTM D792,NA,18619,0.92,LDPE
15229,NA,NA,1.05,NA,NA,18620,1.05,PP
15230,NA,NA,1.76,ASTM D792,NA,18622,1.76,Nylon 66
15231,NA,NA,1.72,ISO 1183,NA,18623,1.72,Polybutylene Terephthalate
15232,NA,NA,1.37,ISO 1183,NA,18624,1.37,Polyethersulfone
15233,NA,NA,1.15,NA,NA,18625,1.15,Nylon 66
15234,NA,NA,1.22,ASTM D792,NA,18627,1.22,Vinyl (PVC)
15235,NA,NA,1.41,ASTM D792,NA,18628,1.41,Phenolic
15236,NA,NA,1.41,ASTM D792,NA,18629,1.41,Acetal
15237,1.3,1.31,NA,ISO 1183,NA,18630,1.305,Polybutylene Terephthalate
15238,NA,NA,1.4,ASTM D792,NA,18631,1.4,Phenolic
15239,NA,NA,1.05,ISO 1183,NA,18632,1.05,Polystyrene
15240,NA,NA,1.36,ASTM D792,NA,18633,1.36,Phenolic
15241,1.16,1.2,NA,ISO R 1183,NA,18634,1.18,Vinyl (PVC)
15242,NA,NA,1.32,ISO 1183,NA,18637,1.32,Nylon 66
15243,NA,NA,1.17,NA,NA,18638,1.17,Epoxy
15244,NA,NA,0.94,ASTM D792,NA,18640,0.94,Ionomer
15245,NA,NA,1.48,ISO 1183,NA,18641,1.48,Nylon 6
15246,NA,NA,1.23,ISO 1183,NA,18642,1.23,Nylon 66
15247,NA,NA,3.07,NA,NA,18643,3.07,Epoxy
15248,1.42,1.46,NA,ISO R 1184,NA,18646,1.44,Vinyl (PVC)
15249,NA,NA,1.288,JIS-Z-8807,NA,18647,1.288,Vinyl (PVC)
15250,NA,NA,1.45,ASTM D792,NA,18649,1.45,HDPE
15251,NA,NA,1.49,ISO 1183,NA,18650,1.49,Nylon 66
15252,NA,NA,1.64,ASTM D 792,NA,18652,1.64,Polyphthalamide (PPA)
15253,NA,NA,0.946,ASTM-D792,NA,18653,0.946,HDPE
15254,NA,NA,1.31,ASTM D792,NA,18654,1.31,Vinyl (PVC)
15255,NA,NA,1.045,ASTM D-792,NA,18655,1.045,ABS
15256,NA,NA,1.2,ASTM D792,NA,18656,1.2,Cellulosic
15257,NA,NA,1.04,ASTM D792,NA,18658,1.04,ABS
15258,NA,NA,1.49,ASTM D792,NA,18660,1.49,Nylon 66
15259,1.29,1.33,NA,ASTM D-792,NA,18661,1.31,Vinyl (PVC)
15260,NA,NA,1.22,ASTM D 792,NA,18662,1.22,ABS
15261,NA,NA,1.39,ASTM D792,NA,18663,1.39,Polyphthalamide (PPA)
15262,NA,NA,1.14,ISO 1183,NA,18664,1.14,Nylon 6
15263,NA,NA,1.54,ASTM D 792,NA,18665,1.54,Thermoplastic Polyurethane
15264,NA,NA,1.54,ASTM D 792,NA,18665,1.54,Thermoplastic Elastomers
15265,1.6,1.9,NA,IEC 1212-2 7.2,NA,18666,1.75,Silicone
15266,NA,NA,1.31,ASTM D792,NA,18667,1.31,Vinyl (PVC)
15267,NA,NA,1.1,NA,NA,18668,1.1,Rubber or Thermoset Elastomer
15268,NA,NA,1.05,ASTM D792,NA,18670,1.05,Thermoplastic Elastomers
15269,NA,NA,1.52,D792,NA,18672,1.52,Polyethylene Terephthalate
15270,NA,NA,1.302,ISO 1183,NA,18674,1.302,Vinyl (PVC)
15271,NA,NA,1.37,ISO 1183-87,NA,18675,1.37,Nylon 6
15272,NA,NA,0.902,ISO 1183,NA,18676,0.902,PP
15273,NA,NA,1.22,ASTM D792,NA,18677,1.22,ABS
15274,NA,NA,1.22,ASTM D792,NA,18677,1.22,PC
15275,NA,NA,0.88,NA,NA,18679,0.88,Thermoplastic Elastomers
15276,NA,NA,0.96,ASTM D1505,NA,18680,0.96,HDPE
15277,NA,NA,0.449,ASTM D792,NA,18681,0.449,PP
15278,NA,NA,1.14,ASTM D792,NA,18682,1.14,Nylon 66
15279,NA,NA,0.918,ASTM D1505,NA,18683,0.918,LDPE
15280,NA,NA,1.16,ASTM D792,NA,18684,1.16,Nylon 66
15281,NA,NA,1.133,ISO 1183,NA,18685,1.133,Nylon 66
15282,NA,NA,1.39,ASTM D792,NA,18686,1.39,Vinyl (PVC)
15283,NA,NA,1.14,ASTM D792,NA,18687,1.14,Nylon 6
15284,NA,NA,1.07,ISO 1183,NA,18688,1.07,Acrylonitrile-Styrene-Acrylate 
15285,0.011,0.02,NA,NA,NA,18690,0.0155,Polystyrene
15286,NA,NA,1.41,ASTM D792,NA,18691,1.41,Nylon 66
15287,NA,NA,1.23,ASTM D792,NA,18693,1.23,PP
15288,0.02,NA,NA,NA,Batch Expansion,18694,NA,Polystyrene
15289,NA,NA,0.88,ASTM D792,NA,18697,0.88,Thermoplastic Elastomers
15290,NA,NA,1.4,ASTM D792,NA,18698,1.4,Polyetheretherketone
15291,NA,NA,1.22,ASTM D 792,NA,18699,1.22,PC
15292,NA,NA,1.13,ISO 1183,NA,18700,1.13,Nylon 6
15293,NA,NA,1.19,ASTM D792,NA,18701,1.19,Cellulosic
15294,NA,NA,1.06,NA,NA,18702,1.06,Polyphenylene EtherPPO
15295,NA,NA,0.9,ASTM D1505,NA,18705,0.9,PP
15296,NA,NA,1.84,ASTM D792,NA,18706,1.84,Thermoset Polyester
15297,NA,NA,0.905,ISO 1183,NA,18707,0.905,PP
15298,1.1,1.16,NA,ASTM D792,NA,18709,1.13,PP
15299,NA,NA,1.12,ASTM-D792,NA,18710,1.12,PP
15300,NA,NA,1.04,ASTM D792,NA,18711,1.04,ABS
15301,NA,NA,0.92,NA,NA,18712,0.92,PP
15302,NA,NA,0.98,NA,NA,18713,0.98,Rubber or Thermoset Elastomer
15303,NA,NA,1.06,NA,NA,18714,1.06,Acrylonitrile-Styrene-Acrylate 
15304,NA,NA,1.22,ASTM D792,NA,18715,1.22,LDPE
15305,NA,NA,2.08,ASTM D792,NA,18716,2.08,Thermoset Polyester
15306,1.55,2.05,NA,ASTM D792,NA,18717,1.8,Rubber or Thermoset Elastomer
15307,1.55,2.05,NA,ASTM D792,NA,18717,1.8,Silicone
15308,NA,NA,0.964,ASTM D1505,NA,18718,0.964,HDPE
15309,NA,NA,1.3,NA,NA,18719,1.3,Nylon 6
15310,NA,NA,0.905,ISO 1183,NA,18720,0.905,PP
15311,NA,NA,1.21,NA,NA,18721,1.21,PP
15312,NA,NA,1.2,ISO 1183,NA,18722,1.2,PC
15313,NA,NA,1.52,ASTM D792,NA,18723,1.52,Acetal
15314,NA,NA,1.7,ASTM F1315,NA,18724,1.7,Rubber or Thermoset Elastomer
15315,NA,NA,1.2,ISO 1183,NA,18725,1.2,PC
15316,NA,NA,1.41,ASTM D792,NA,18727,1.41,Polybutylene Terephthalate
15317,NA,NA,1.46,ASTM D792,NA,18728,1.46,Nylon 6
15318,NA,NA,1.2,ASTM D792,NA,18730,1.2,PC
15319,NA,NA,1.36,ASTM D792,NA,18731,1.36,Nylon 66
15320,1.8,2,NA,IEC 1212-2 8.1,NA,18733,1.9,Phenolic
15321,NA,NA,0.95,ASTM D1505,NA,18734,0.95,HDPE
15322,NA,NA,1.28,NA,NA,18735,1.28,Rubber or Thermoset Elastomer
15323,NA,NA,1.28,NA,NA,18735,1.28,Silicone
15324,NA,NA,1.39,ASTM D 792,NA,18736,1.39,ABS
15325,NA,NA,1.39,ASTM D 792,NA,18736,1.39,PC
15326,NA,NA,2.2,ASTM D792,NA,18737,2.2,Rubber or Thermoset Elastomer
15327,NA,NA,2.2,ASTM D792,NA,18737,2.2,Silicone
15328,NA,NA,1.11,ASTM D792,NA,18741,1.11,PMMA
15329,NA,NA,1.32,ASTM D792,NA,18742,1.32,ABS
15330,NA,NA,1.32,ASTM D 792,NA,18744,1.32,Polyetheretherketone
15331,NA,NA,1.68,ASTM D792,NA,18745,1.68,Polyphthalamide (PPA)
15332,NA,NA,1.169,ISO 1183,NA,18747,1.169,Nylon 66
15333,NA,NA,1.33,ASTM D792,NA,18748,1.33,Vinyl (PVC)
15334,NA,NA,1.21,ASTM D792,NA,18750,1.21,Thermoplastic Elastomers
15335,NA,NA,0.9,ASTM D792,NA,18751,0.9,PP
15336,NA,NA,1.34,ISO 1183,NA,18753,1.34,Nylon 66
15337,NA,NA,1.48,ISO 1183,NA,18754,1.48,Nylon 66
15338,NA,NA,1.23,ASTM D 792,NA,18756,1.23,Thermoplastic Polyurethane
15339,NA,NA,1.23,ASTM D 792,NA,18756,1.23,Thermoplastic Elastomers
15340,NA,NA,0.905,ISO 1183,NA,18758,0.905,PP
15341,NA,NA,1.37,ASTM D 792,NA,18759,1.37,Polybutylene Terephthalate
15342,NA,NA,1.05,NA,NA,18761,1.05,PP
15343,NA,NA,1.12,ASTM D792,NA,18762,1.12,Thermoplastic Polyurethane
15344,NA,NA,1.12,ASTM D792,NA,18762,1.12,Thermoplastic Elastomers
15345,NA,NA,1.13,ASTM D792,NA,18763,1.13,ABS
15346,NA,NA,1.13,ASTM D792,NA,18763,1.13,PC
15347,NA,NA,0.948,"ASTM D792-ISO 1183, ASTM D1505",NA,18764,0.948,Ethylene Vinyl Acetate
15348,1.14,1.2,NA,ASTM D792,NA,18765,1.17,Thermoplastic Elastomers
15349,NA,NA,1.2,ASTM D792,NA,18768,1.2,PC
15350,NA,NA,0.92,ASTM D792,NA,18769,0.92,PP
15351,NA,NA,1.36,ISO 1183,NA,18771,1.36,Nylon 6
15352,NA,NA,1.12,ASTM D792,NA,18773,1.12,ABS
15353,NA,NA,1.12,ASTM D792,NA,18773,1.12,PC
15354,NA,NA,1.21,ASTM D792,NA,18774,1.21,ABS
15355,NA,NA,1.21,ASTM D792,NA,18774,1.21,PC
15356,NA,NA,0.98,ASTM D 792,NA,18775,0.98,Thermoplastic Elastomers
15357,NA,NA,0.924,ASTM D1505,NA,18776,0.924,LDPE
15358,NA,NA,1.32,ASTM D792,NA,18777,1.32,ABS
15359,NA,NA,2.15,NA,NA,18779,2.15,PTFE
15360,NA,NA,0.9,ASTM D 792,NA,18780,0.9,Thermoplastic Elastomers
15361,NA,NA,1.18,ASTM D792,NA,18784,1.18,ABS
15362,NA,NA,1.18,ASTM D792,NA,18784,1.18,PC
15363,NA,NA,1.28,ASTM D792,NA,18786,1.28,Styrene Acrylonitrile (SAN)
15364,NA,NA,2.11,ISO 1183,NA,18787,2.11,PTFE
15365,NA,NA,1.05,NA,NA,18788,1.05,Silicone
15366,NA,NA,0.992,ASTM D792,NA,18789,0.992,Thermoplastic Elastomers
15367,0.886,0.926,NA,ASTM D1505,NA,18791,0.906,PP
15368,NA,NA,1.05,ISO 1183,NA,18792,1.05,ABS
15369,NA,NA,1.48,ASTM D792,NA,18793,1.48,Nylon 6
15370,NA,NA,1.39,ISO 1183,NA,18794,1.39,Thermoplastic Elastomers
15371,NA,NA,1.19,ASTM D792,NA,18795,1.19,Cellulosic
15372,NA,NA,1.04,STN 64 0111,NA,18796,1.04,PP
15373,NA,NA,0.905,ASTM D792,NA,18797,0.905,PP
15374,NA,NA,1.13,ISO 176,NA,18798,1.13,Nylon 6-66
15375,NA,NA,1.35,ISO 1183,NA,18799,1.35,Vinyl (PVC)
15376,NA,NA,1.47,NA,NA,18800,1.47,Acetal
15377,NA,NA,3.23,NA,NA,18801,3.23,Silicone
15378,NA,NA,1.07,NA,NA,18802,1.07,AcrylicCyanoacrylate Adhesive
15379,NA,NA,0.91,ASTM D792,NA,18803,0.91,Thermoplastic Elastomers
15380,NA,NA,1.07,ASTM D792,NA,18804,1.07,Nylon 6
15381,NA,NA,1.41,ASTM D792,NA,18805,1.41,PC
15382,NA,NA,1.7,ASTM D792,NA,18807,1.7,Nylon 6-66
15383,NA,NA,0.909,ASTM D1505,Compression-Molded,18808,0.909,PP
15384,NA,NA,1.36,ISO 1183,NA,18809,1.36,Nylon 6
15385,NA,NA,1.1,ASTM D792,NA,18810,1.1,PP
15386,NA,NA,1.05,ASTM D1505,NA,18811,1.05,Polystyrene
15387,NA,NA,1.58,ASTM D792,NA,18813,1.58,Polyphenylene Sulfide (PPS)
15388,NA,NA,1.04,ASTM D792,NA,18815,1.04,Polystyrene
15389,NA,NA,1.52,ISO 1183,Dry,18819,1.52,Nylon 46
15390,NA,NA,1.28,ASTM D792,NA,18822,1.28,HDPE
15391,NA,NA,1.49,ASTM D792,NA,18823,1.49,Vinyl (PVC)
15392,NA,NA,1.43,ASTM D1505,NA,18824,1.43,"Polyimide, Thermoplastic"
15393,1.54,1.58,NA,ISO R 1183,NA,18826,1.56,Vinyl (PVC)
15394,NA,NA,1.14,ASTM D792,NA,18827,1.14,Thermoplastic Elastomers
15395,1.24,1.28,NA,ISO R 1183,NA,18829,1.26,Vinyl (PVC)
15396,NA,NA,1.04,NA,NA,18830,1.04,Silicone
15397,NA,NA,1.08,ASTM D792,NA,18832,1.08,PP
15398,NA,NA,1.47,ISO 1183/A,NA,18833,1.47,Nylon 66
15399,NA,NA,0.954,ISO 1183,NA,18834,0.954,HDPE
15400,NA,NA,0.915,ASTM D1505,NA,18835,0.915,LDPE
15401,NA,NA,1.27,NA,NA,18836,1.27,Polylactic Acid (PLA)
15402,NA,NA,0.926,ASTM D792,NA,18837,0.926,LLDPE
15403,NA,NA,1.36,NA,NA,18838,1.36,Vinyl (PVC)
15404,NA,NA,1.25,ASTM D792,NA,18839,1.25,Nylon 66
15405,NA,NA,1.81,NA,NA,18840,1.81,Polybutylene Terephthalate
15406,NA,NA,1.06,NA,NA,18841,1.06,Rubber or Thermoset Elastomer
15407,NA,NA,0.93,ASTM D792,NA,18842,0.93,Ethylene Vinyl Acetate
15408,NA,NA,0.96,ASTM D792,NA,18843,0.96,Thermoplastic Elastomers
15409,NA,NA,0.945,ASTM D4883,NA,18844,0.945,HDPE
15410,NA,NA,1.12,NA,NA,18845,1.12,Silicone
15411,NA,NA,1.8,NA,NA,18847,1.8,Thermoset Fluoropolymer
15412,NA,NA,1.8,NA,NA,18847,1.8,Rubber or Thermoset Elastomer
15413,NA,NA,1.03,ASTM D792,NA,18849,1.03,Nylon 12
15414,NA,NA,1.22,ASTM D792,NA,18850,1.22,Vinyl (PVC)
15415,NA,NA,1.15,ISO 1183,NA,18852,1.15,Thermoplastic Elastomers
15416,0.886,0.926,NA,ASTM D1505,NA,18854,0.906,PP
15417,NA,NA,1.2,ISO 1183,dry,18856,1.2,ABS
15418,NA,NA,1.44,ASTM D4441,NA,18857,1.44,PTFE
15419,NA,NA,1.03,ASTM D792,NA,18858,1.03,PP
15420,NA,NA,0.9,ISO 1183,NA,18859,0.9,PP
15421,1.7,1.85,NA,NA,NA,18860,1.775,Thermoset Polyester
15422,NA,NA,1.27,DIN 53479,NA,18861,1.27,Thermoplastic Elastomers
15423,1.22,1.26,NA,ISO R 1184,NA,18864,1.24,Vinyl (PVC)
15424,NA,NA,1.27,ISO 1183,NA,18865,1.27,Nylon 6
15425,NA,NA,0.924,ASTM-D792,NA,18866,0.924,LDPE
15426,NA,NA,1.3,ASTM D792,NA,18868,1.3,HDPE
15427,NA,NA,1.21,DIN 53479,NA,18869,1.21,PC
15428,NA,NA,0.98,NA,NA,18870,0.98,Thermoset Polyester
15429,NA,NA,0.87,ASTM D792,NA,18873,0.87,Thermoplastic Elastomers
15430,NA,NA,0.9,ASTM D792,NA,18874,0.9,Thermoplastic Elastomers
15431,NA,NA,1.05,ASTM D792,NA,18875,1.05,Thermoplastic Elastomers
15432,NA,NA,1.34,NA,NA,18878,1.34,Epoxy
15433,NA,NA,0.95,NA,NA,18879,0.95,HDPE
15434,NA,NA,1.06,NA,NA,18881,1.06,Silicone
15435,NA,NA,1.38,ISO 1183,NA,18882,1.38,Nylon 6
15436,NA,NA,0.919,ASTM D1505,NA,18884,0.919,LDPE
15437,NA,NA,2.26,NA,NA,18885,2.26,PTFE
15438,NA,NA,0.92,ASTM D792,NA,18886,0.92,LLDPE
15439,NA,NA,0.97,NA,NA,18887,0.97,Silicone
