Concentration (particles/volume),Sample ID,Study Media,Min Length (microns),Max Length (microns),Min Concentration (microns3/volume),Concentration (microns3/volume),Max Concentration (microns3/volume),Min Concentration (mg/volume),Concentration (mg/volume),Max Concentration (mg/volume),Alpha,Correction Factor,Corrected Concentration (particles/volume),Max Corrected Concentration (particles/volume),Min Corrected Concentration (particles/volume)
2.178947368,doi.org/10.1002/eap.2429|3.benthic,freshwatersurface,1130,1810,26697136391,4.25E+11,1.53E+12,24.47652897,517.3981934,2402.093327,2.64,188845.297,411483.9628,439679.0815,385110.5255
0.997058824,doi.org/10.1002/eap.2429|4.benthic,freshwatersurface,1130,1810,26618615.41,423478377.5,1522615666,0.024404539,0.515876434,2.395028347,2.64,188845.297,188289.8697,201191.6003,176221.7176
1.075510204,doi.org/10.1002/eap.2429|5.benthic,freshwatersurface,1130,1810,26697136391,4.25E+11,1.53E+12,24.47652897,517.3981934,2402.093327,2.64,188845.297,203105.0439,217021.9187,190087.3357
2.968421053,doi.org/10.1002/eap.2429|6.benthic,freshwatersurface,1130,1810,26697136391,4.25E+11,1.53E+12,24.47652897,517.3981934,2402.093327,2.64,188845.297,560572.3553,598983.0967,524643.3247
0.878947368,doi.org/10.1002/eap.2429|7.benthic,freshwatersurface,1130,1810,23465377.76,373313185.1,1342246816,0.021513581,0.45476578,2.111313607,2.64,188845.297,165985.0767,177358.47,155346.5163
0.374545455,doi.org/10.1002/eap.2429|8.benthic,freshwatersurface,1130,1810,9999291.097,159079783.2,571971044.8,0.009167573,0.193789142,0.899693138,2.64,188845.297,70731.14768,75577.68675,66197.74259
2.792857143,doi.org/10.1002/eap.2429|9.benthic,freshwatersurface,1130,1810,26697136391,4.25E+11,1.53E+12,24.47652897,517.3981934,2402.093327,2.64,188845.297,527417.9366,563556.9181,493613.8879
0.001,doi.org/10.1021/acs.est.9b03850 | 21.4,freshwatersurface,355,5000,15051.67945,246039.7621,887866.3368,1.38E-05,0.000298148,0.001393273,2.64,15420.02118,15.42002118,16.3469694,14.54577158
9.00E-04,doi.org/10.1021/acs.est.9b03850 | 2.1,freshwatersurface,355,5000,13546.51151,221435.7859,799079.7031,1.24E-05,0.000268333,0.001253945,2.64,15420.02118,13.87801906,14.71227246,13.09119442
9.00E-04,doi.org/10.1021/acs.est.9b03850 | 2.2,freshwatersurface,355,5000,13546.51151,221435.7859,799079.7031,1.24E-05,0.000268333,0.001253945,2.64,15420.02118,13.87801906,14.71227246,13.09119442
9.00E-04,doi.org/10.1021/acs.est.9b03850 | 2.3,freshwatersurface,355,5000,13546.51151,221435.7859,799079.7031,1.24E-05,0.000268333,0.001253945,2.64,15420.02118,13.87801906,14.71227246,13.09119442
9.00E-04,doi.org/10.1021/acs.est.9b03850 | 2.4,freshwatersurface,355,5000,13546.51151,221435.7859,799079.7031,1.24E-05,0.000268333,0.001253945,2.64,15420.02118,13.87801906,14.71227246,13.09119442
