sample_ID,morphology,morphology_raw,morph_ratio
Win|10.1016/j.scitotenv.2021.148001,Nurdle,Nurdle,0.0036
1a|http://dce2.au.dk/pub/SR291.pdf,Film,Film,0.03
2|http://dce2.au.dk/pub/SR291.pdf,Film,Film,0.06
4|http://dce2.au.dk/pub/SR291.pdf,Film,Film,0.31
8|http://dce2.au.dk/pub/SR291.pdf,Film,Film,0.1
9|http://dce2.au.dk/pub/SR291.pdf,Film,Film,0.08
IB|101119.10.3389/fchem.2018.00407,Film,Film,0.14
BB 311019 08: 11 PSRL6|10.3389/fchem.2018.00407,Film,Film,0.14
BB 311019 09: 50 STB1|10.3389/fchem.2018.00407,Film,Film,0.14
Oct0719|10.3389/fchem.2018.00407,Film,Film,0.14
BN7141A04117|10.3389/fchem.2018.00407,Film,Film,0.14
HE.B.No 229 (BM/AS)|10.3389/fchem.2018.00407,Film,Film,0.14
MU.N.No.298 (MA/AD)|10.3389/fchem.2018.00407,Film,Film,0.14
SO.B No.087 (AS/LB)|10.3389/fchem.2018.00407,Film,Film,0.14
Oct 0118NHBRB|10.3389/fchem.2018.00407,Film,Film,0.14
P18NOV17CG3|10.3389/fchem.2018.00407,Film,Film,0.14
17.11.18|10.3389/fchem.2018.00407,Film,Film,0.14
14.10.18|10.3389/fchem.2018.00407,Film,Film,0.14
09.08.18|10.3389/fchem.2018.00407,Film,Film,0.14
PRD 03 21 2017 14:02|10.3389/fchem.2018.00407,Film,Film,0.14
PRD 05 24 17 11:29|10.3389/fchem.2018.00407,Film,Film,0.14
07.142018 2|10.3389/fchem.2018.00407,Film,Film,0.14
NV No. AC-51-07269|10.3389/fchem.2018.00407,Film,Film,0.14
FAB: 211017 09:06SP|10.3389/fchem.2018.00407,Film,Film,0.14
FAB: 160817 15:05SP|10.3389/fchem.2018.00407,Film,Film,0.14
FAB: 091217 16:53SP|10.3389/fchem.2018.00407,Film,Film,0.14
100517 278WF246|10.3389/fchem.2018.00407,Film,Film,0.14
P: 4/11/17 03:34 AZ|10.3389/fchem.2018.00407,Film,Film,0.14
730805210A 23:28|10.3389/fchem.2018.00407,Film,Film,0.14
BBE 11.2018 10|10.3389/fchem.2018.00407,Film,Film,0.14
20171102 1214JN|10.3389/fchem.2018.00407,Film,Film,0.14
20171021 3214GH|10.3389/fchem.2018.00407,Film,Film,0.14
20171103 2106WF|10.3389/fchem.2018.00407,Film,Film,0.14
drinking_water|10.3390/w12113115,Film,Film,0.007
