Concentration (particles/volume),Sample ID,Study Media,Min Length (microns),Max Length (microns)
0.0026,doi.org/10.1021/acs.est.9b03850 | 18.3,freshwatersurface,355,5000
0.0026,doi.org/10.1021/acs.est.9b03850 | 18.4,freshwatersurface,355,5000
0.0026,doi.org/10.1021/acs.est.9b03850 | 23.1,freshwatersurface,355,5000
0.0026,doi.org/10.1021/acs.est.9b03850 | 23.2,freshwatersurface,355,5000
0.0026,doi.org/10.1021/acs.est.9b03850 | 23.3,freshwatersurface,355,5000
0.0026,doi.org/10.1021/acs.est.9b03850 | 23.4,freshwatersurface,355,5000
0.0026,doi.org/10.1021/acs.est.9b03850 | 24.1,freshwatersurface,355,5000
0.0026,doi.org/10.1021/acs.est.9b03850 | 24.2,freshwatersurface,355,5000
0.0026,doi.org/10.1021/acs.est.9b03850 | 24.3,freshwatersurface,355,5000
0.0021,doi.org/10.1021/acs.est.9b03850 | 20.1,freshwatersurface,355,5000
0.0021,doi.org/10.1021/acs.est.9b03850 | 20.2,freshwatersurface,355,5000
0.0021,doi.org/10.1021/acs.est.9b03850 | 20.3,freshwatersurface,355,5000
0.0021,doi.org/10.1021/acs.est.9b03850 | 20.4,freshwatersurface,355,5000
0.002,doi.org/10.1021/acs.est.9b03850 | 29.1,freshwatersurface,355,5000
0.002,doi.org/10.1021/acs.est.9b03850 | 29.2,freshwatersurface,355,5000
0.002,doi.org/10.1021/acs.est.9b03850 | 29.3,freshwatersurface,355,5000
0.002,doi.org/10.1021/acs.est.9b03850 | 29.4,freshwatersurface,355,5000
0.0018,doi.org/10.1021/acs.est.9b03850 | 9.1,freshwatersurface,355,5000
0.0018,doi.org/10.1021/acs.est.9b03850 | 9.2,freshwatersurface,355,5000
0.0018,doi.org/10.1021/acs.est.9b03850 | 9.3,freshwatersurface,355,5000
0.0017,doi.org/10.1021/acs.est.9b03850 | 19.1,freshwatersurface,355,5000
0.0017,doi.org/10.1021/acs.est.9b03850 | 19.2,freshwatersurface,355,5000
0.0017,doi.org/10.1021/acs.est.9b03850 | 19.3,freshwatersurface,355,5000
0.0017,doi.org/10.1021/acs.est.9b03850 | 19.4,freshwatersurface,355,5000
0.0015,doi.org/10.1021/acs.est.9b03850 | 11.1,freshwatersurface,355,5000
0.0015,doi.org/10.1021/acs.est.9b03850 | 11.2,freshwatersurface,355,5000
0.0015,doi.org/10.1021/acs.est.9b03850 | 11.3,freshwatersurface,355,5000
0.0015,doi.org/10.1021/acs.est.9b03850 | 11.4,freshwatersurface,355,5000
0.0013,doi.org/10.1021/acs.est.9b03850 | 16.1,freshwatersurface,355,5000
0.0013,doi.org/10.1021/acs.est.9b03850 | 16.2,freshwatersurface,355,5000
0.0013,doi.org/10.1021/acs.est.9b03850 | 16.3,freshwatersurface,355,5000
0.0013,doi.org/10.1021/acs.est.9b03850 | 16.4,freshwatersurface,355,5000
0.0012,doi.org/10.1021/acs.est.9b03850 | 22.1,freshwatersurface,355,5000
0.0012,doi.org/10.1021/acs.est.9b03850 | 22.2,freshwatersurface,355,5000
0.0012,doi.org/10.1021/acs.est.9b03850 | 22.3,freshwatersurface,355,5000
0.0012,doi.org/10.1021/acs.est.9b03850 | 25.1,freshwatersurface,355,5000
0.0012,doi.org/10.1021/acs.est.9b03850 | 25.2,freshwatersurface,355,5000
0.0012,doi.org/10.1021/acs.est.9b03850 | 25.3,freshwatersurface,355,5000
0.001,doi.org/10.1021/acs.est.9b03850 | 21.1,freshwatersurface,355,5000
