Material,Item
plastic,fastfoodcontainers OR cups
sanitarywaste,femininehygeneitems
metal,fencing
plastic,fenders
plastic,fertilizer OR animal feed bags
plastic,fiber
plastic,fiber bundle
fibreglass,fibre glass OR fragments
plastic,filament <5mm
plastic,film
plastic,film (thin OR flexible e.g. straw wrapper)
plastic,film+fragment
plastic,filmfragments
plastic,filmstrip
plastic,filter box
plastic,fin trees (from fins for scuba diving)
other,fireworks
plastic,fish aggregating devices
plastic,fish boxes
metal,fish hook
other,fish pot
metal,"fishing bouys, pots & traps"
plastic,"fishing bouys, pots & traps"
plastic,fishing line
plastic,fishing line (anglers)
plastic,fishing line (entangled)
plastic,fishing line OR net
plastic,fishing lures
plastic,fishing lures & line
plastic,fishing lures or light sticks
plastic,fishing nets
other,fishing related
metal,fishing rubbertail baits & weights
plastic,fishing rubbertail baits & weights
metal,fishing traps and pots
metal,fishing weights
metal,"fishing: lures, rods OR poles"
metal,"fishing: sinkers, lures, hooks"
plastic,fishingnetandnetpieces>50cm
metal,fishingweights OR hooks OR lures
plastic,fizzy drink bottle
plastic,flip-flops
plastic,floats (fishing buoys) OR reels
plastic,floats for fishing nets
plastic,floor cover
ceramic,flower pots
plastic,foam
metal,foil
organic,food
metal,food cans
glass,food OR beverage ware
metal,food OR beverage ware
paper,food OR beverage ware
plastic,food OR beverage ware
wood,food OR beverage ware
plastic,food wrappers
plastic,food wrappers or containers
glass,foodjars
plastic,football
metal,fork
plastic,fork
wood,fork
paper OR cardboard,forsale posters
plastic,fragment
glass OR ceramic,fragments (trash)
metal,fragments (trash)
organic,fragments (trash)
other,fragments (trash)
plastic,fragments (trash)
cloth,furniture
plastic,furniture
wood,furniture
plastic,"gas bottles, drums & buckets (>4L)"
cloth,gloves
rubber,gloves
plastic,golf ball
cloth,hair tie
hard plastics,hard hats
plastic,home food packaging
plastic,hooksett disks
wood,ice lolly sticks OR chip forks
glass,ice tea bottles
plastic,ice tea bottles
metal,ice tea can
wood,"ice-cream sticks, chip forks, chopsticks, toothpicks"
plastic,industrial pellets
other,industrialpackaging OR crates OR sheeting
sanitarywaste,inhaler
sanitarywaste,injection gun containers
rubber,inner-tubes & rubber sheets
other,insulation & packaging
glass,jars
plastic,jerry cans (square plastic containers with handle)
hard plastics,juice bottles
paper,juice carton
plastic,juice packet
metal,juices cans
metal,knife
plastic,knife
wood,knife
other,large debris items
plastic,lids
glass,light bulbs OR tubes
glass,light sticks (tubes with fluid)
glass,lightbulbs
plastic,Line
glass,liquor bottles
plastic,lobster and fish tags
rubber,lobster claw bands
wood,lollipop sticks & cotton buds
wood,lolly sticks
wood,lumber OR building material
plastic,macroplastics
paper,magazines
paper,masking tape
wood,matches (& fireworks)
cloth,mattress OR foam
sanitary waste,medical OR pharmaceuticals containers OR tubes
plastic,medium plastics
cloth,mesh vegetable bags
plastic,microplastic
plastic,middle size containers
hard plastics,milk bottle
paper,milk carton
other,miscellaneous items
plastic,monofilament net OR fiber 5-30mm
plastic,monofilament net OR fiber larger than 30mm
plastic,monofilament net OR fiber up to 5mm
metal,motorbike parts
plastic,motorbike parts
metal,motorbikes
metal,motorbikes OR parts
metal,nails
paper,napkins
plastic,nets and pieces of net
plastic,nets and pieces of net <50 cm
plastic,nets and pieces of net >50cm
paper,"newspaper, books"
paper,newspapers & magazines
metal,non-beverage containers OR bottles
plastic,non-beverage containers OR bottles
plastic,non-food related plastic packaging
plastic,nurdle
other,oil
metal,oil drums
metal,oil or petrol can
other,oil OR tar
plastic,other
other,"other bottles, containers and drums"
metal,other cans (<4l)
metal,other food cans OR wrappers
plastic,other food cans OR wrappers
other,other identifiable items
glass,other jugs or containers
metal,other jugs or containers
plastic,other jugs or containers
sanitarywaste,"other medical items (swabs, bandaging etc.)"
other,other mixed
organic,other organic waste
plastic,oyster nets or mussel bags including plastic stoppers
plastic,oyster trays (round from oyster cultures)
foam,packaging
paper OR cardboard,packaging
plastic,packaging
plastic,paint brushes
wood,paint brushes
metal,paint tins
wood,paint tins
plastic,pallets
wood,pallets
sanitarywaste,panty liners
paper,paper
paper,paper OR napkins OR tissues
other,paraffin OR wax
paper,parking tickets & reciepts
other,pegs and chips
plastic,pellet
wood,pencils
plastic,pens
plastic,pens OR pencils
wood,pens OR pencils
plastic,personal care product tube
sanitary waste,personal care products
metal,pipes & rebar
metal,piping
other,plasters
paper,plates
plastic,plates
wood,popsicle stick
ceramic,pottery or ceramic
metal,pull tabs: beverages
cloth,rags
paper,reciepts
plastic,resin pellets
hard plastics,rigid plastic disposable food and begerage ware
organic,rope
plastic,rope
organic,rope & string
plastic,rope & string
organic,rope <1 meter
plastic,rope <1 meter
organic,rope >1 meter
plastic,rope >1 meter
organic,rope diameter <1 cm
plastic,rope diameter <1 cm
organic,rope diameter >1 cm
plastic,rope diameter >1 cm
cloth,rope large
plastic,rope large
cloth,rope medium
plastic,rope medium
plastic,rope OR fishing line
cloth,rope small
plastic,rope small
organic,ropes OR strapping bands
plastic,ropes OR strapping bands
rubber,rubber bands
plastic,rubbery fragment
cloth,sacking
cloth,"sails, canvas"
paper,salt packaging
cloth,sandals
sanitary waste,sanitary product
sanitary waste,sanitary towel OR tampon
sanitarywaste,sanitary towels
plastic,sauce packet
metal,scrap OR metal appliances OR paint tins
metal,screws
metal,scuba weights
plastic,scuba&snorkelgear
sanitarywaste,"sharp needles, lancets, metal catheters"
plastic,Sheet
plastic,sheet-like user pellets
plastic,sheeting
plastic,sheeting <30cm
plastic,sheeting >60cm
plastic,sheeting 30-60 cm
plastic,"sheeting: tarpaulin, plastic sheets, palette wrap"
plastic,sheet-like user plastic (>1mm)
paper,shipping OR packaging
plastic,shipping OR packaging
cloth,shoes
rubber,shoes
cloth,shoes OR sandals
paper,shopping bag
plastic,shopping bag
metal,shopping trolleys
plastic,shopping trolleys
metal,shotgun cartridges
metal,signs OR cones
plastic,signs OR cones
plastic,single use plastic carryout bags
foam,singlue use food container
paper,singlue use food container
plastic,singlue use food container
plastic,six-pack rings
other,slack OR coal
metal,small electronic items
plastic,"small plastic bags, e.g., freezer bags"
hard plastics,soft drink bottles
plastic,sphere
foam,sponge
organic,sponge
plastic,sponge
metal,spoon
plastic,spoon
wood,spoon
hard plastics,sport drink bottles
plastic,sports drink
plastic,strapping bands
plastic,strapping bands (closed)
plastic,strapping bands (open)
plastic,strapping bands OR zip-ties
metal,straws
paper,straws
plastic,straws
